
 Dense Matrix/Dense Vector Multiplication:
   Blaze [MFlop/s]:
     414         2434.79
     455         834.493
     500         2668.18
     550         6232.17
     605         5670.8
     665         4594.53
     731         7384.57
     804         7194.85
     884         9837.27
     972         10284.8
     1069        21886
     1175        21768.7
     1292        23014.4
     1421        21003.1
     1563        10054.3
     1719        6236.36
     1890        4088.91
     2079        3272.98
     2286        3092.02
     2514        2676.75
     2765        2631.46
     3041        2562.35
     3345        2548.61
     3679        2528.35
     4046        2549.84
     4450        2533.88
     4895        2514.09
     5384        2521.18
     5922        2525.43
     6514        2525.56
     7165        2516.43
     7881        2483.6
     8669        2524.07
     9535        2523.49
     10000       2518.87

 Dense Matrix/Dense Vector Multiplication:
   Blaze [MFlop/s]:
     414         2941.49
     455         770.723
     500         1470.01
     550         5182.43
     605         5324.37
     665         4971.65
     731         7215.66
     804         6887.59
     884         9763.96
     972         11267.9
     1069        21966.3
     1175        21942
     1292        24360.2
     1421        26050.2
     1563        21353.5
     1719        13301.6
     1890        8865.65
     2079        8338.82
     2286        7258.38
     2514        6662.7
     2765        6603.08
     3041        6529.26
     3345        6402.66
     3679        6333.39
     4046        6389.99
     4450        6415.73
     4895        6351.66
     5384        6335.75
     5922        6388.02
     6514        5897.32
     7165        6368.71
     7881        6363.16
     8669        6424.05
     9535        6416.18
     10000       6411.47
