
 Dense Matrix/Dense Vector Multiplication:
   Blaze [MFlop/s]:
     414         3128.62
     455         1996.25
     500         2877.82
     550         6470.77
     605         5704.54
     665         7696.97
     731         14431.3
     804         13866.8
     884         16370.9
     972         17079.2
     1069        15394.7
     1175        18422.3
     1292        15594.2
     1421        14680.6
     1563        9607.28
     1719        5550.76
     1890        3825.05
     2079        3276.11
     2286        2928.63
     2514        2608.95
     2765        2220.76
     3041        2521.26
     3345        2500.23
     3679        2509.73
     4046        2529.45
     4450        2473.36
     4895        2507.67
     5384        2520.48
     5922        2504.72
     6514        2485.65
     7165        2275.62
     7881        2501.5
     8669        2508.05
     9535        2468.97
     10000       2511.44

 Dense Matrix/Dense Vector Multiplication:
   Blaze [MFlop/s]:
     414         3552.79
     455         1863.31
     500         3303.46
     550         6207.75
     605         5687.62
     665         8215.57
     731         14357.3
     804         15377.9
     884         17017.2
     972         16803.9
     1069        16179.8
     1175        19109.6
     1292        16245.8
     1421        17816.4
     1563        14836.7
     1719        11826.3
     1890        7948.27
     2079        7428.35
     2286        7019.37
     2514        6577.38
     2765        6484.88
     3041        6213.34
     3345        6178.9
     3679        6233.31
     4046        6325.87
     4450        6324.94
     4895        4515.47
     5384        6310.91
     5922        6316.93
     6514        6350.4
     7165        6306.9
     7881        6322.34
     8669        6345.97
     9535        6365.2
     10000       6015.32
