
 Dense Matrix/Dense Vector Multiplication:
   Blaze [MFlop/s]:
     414         1474.67
     455         720.049
     500         1283.42
     550         2443.38
     605         2716.88
     665         1982.49
     731         2614.99
     804         3171.32
     884         3630.91
     972         5836.54
     1069        8305.9
     1175        8152.53
     1292        9985.29
     1421        9737.01
     1563        10912.2
     1719        10365.1
     1890        8763.46
     2079        8115.18
     2286        7534.91
     2514        6452.63
     2765        6063.13
     3041        6577.1
     3345        6384.45
     3679        6204.21
     4046        6460.95
     4450        6305.4
     4895        5871.5
     5384        6368.17
     5922        5471.75
     6514        6353.94
     7165        6342.33
     7881        6321.69
     8669        6367.29
     9535        6238.09
     10000       6640.56

 Dense Matrix/Dense Vector Multiplication:
   Blaze [MFlop/s]:
     414         1468.34
     455         559.956
     500         969.484
     550         2752.11
     605         2250.85
     665         2199.66
     731         3457.99
     804         3633.12
     884         4826.6
     972         5493.3
     1069        8381.46
     1175        7770.57
     1292        9629.46
     1421        12866.8
     1563        9713.87
     1719        10989.3
     1890        9088.9
     2079        7437.5
     2286        7982.87
     2514        6581.46
     2765        6485.67
     3041        7262.94
     3345        6674.23
     3679        6288.76
     4046        6210.45
     4450        6429.68
     4895        5869.75
     5384        6522.5
     5922        6288.84
     6514        6401.96
     7165        6180.75
     7881        6367.12
     8669        6538.87
     9535        6657.06
     10000       6524.11
