
 Dense Matrix/Dense Vector Multiplication:
   Blaze [MFlop/s]:
     414         1537.84
     455         578.942
     500         885.933
     550         2634.84
     605         2178.29
     665         2539.64
     731         7628.54
     804         6983.45
     884         7152.42
     972         8284.19
     1069        9462.46
     1175        10551
     1292        8727.64
     1421        9238.68
     1563        9226.51
     1719        9863.4
     1890        6019.33
     2079        8083.33
     2286        7408.56
     2514        6086.47
     2765        5702.7
     3041        5649.28
     3345        4566.86
     3679        6001.39
     4046        5599.74
     4450        5808.39
     4895        4748.14
     5384        5378.01
     5922        6046.77
     6514        4767.4
     7165        5078.22
     7881        6118.29
     8669        5468.51
     9535        5465
     10000       5886.31

 Dense Matrix/Dense Vector Multiplication:
   Blaze [MFlop/s]:
     414         1275.57
     455         656.702
     500         1134.67
     550         3116.09
     605         2758.41
     665         2666.81
     731         3154.12
     804         7366.99
     884         7596.96
     972         8655.32
     1069        10154.4
     1175        9705.39
     1292        9244.08
     1421        9913.74
     1563        8822.81
     1719        10564.8
     1890        7934.37
     2079        9019.37
     2286        8587.58
     2514        5791.23
     2765        5752.33
     3041        7134.93
     3345        5637.97
     3679        7207.46
     4046        5754.73
     4450        7353.06
     4895        5357.33
     5384        6126.42
     5922        7137.35
     6514        5883.05
     7165        6947.94
     7881        7070.6
     8669        7201.34
     9535        6296.9
     10000       7418.24
