benchmark,matrix_size,num_threads,block_size,chunk_size,mflops
dmatdmatadd,79,1,1-1024,5,1635.12
dmatdmatadd,90,1,1-1024,5,1569.45
dmatdmatadd,103,1,1-1024,5,1473.69
dmatdmatadd,118,1,1-1024,5,1339.92
dmatdmatadd,135,1,1-1024,5,1129.34
dmatdmatadd,155,1,1-1024,5,1077.7
dmatdmatadd,176,1,1-1024,5,1066.68
dmatdmatadd,200,1,1-1024,5,623.607
dmatdmatadd,230,1,1-1024,5,681.604
dmatdmatadd,264,1,1-1024,5,735.09
dmatdmatadd,300,1,1-1024,5,787.763
dmatdmatadd,345,1,1-1024,5,824.011
dmatdmatadd,396,1,1-1024,5,879.273
dmatdmatadd,455,1,1-1024,5,910.785
dmatdmatadd,523,1,1-1024,5,940.95
dmatdmatadd,600,1,1-1024,5,958.138
dmatdmatadd,690,1,1-1024,5,969.274
dmatdmatadd,793,1,1-1024,5,877.766
dmatdmatadd,912,1,1-1024,5,703.941
dmatdmatadd,1048,1,1-1024,5,549.982
dmatdmatadd,1200,1,1-1024,5,486.988
dmatdmatadd,1380,1,1-1024,5,474.685
dmatdmatadd,1587,1,1-1024,5,482.625
dmatdmatadd,1825,1,1-1024,5,488.051
dmatdmatadd,2100,1,1-1024,5,489.51
dmatdmatadd,2415,1,1-1024,5,490.831
dmatdmatadd,2777,1,1-1024,5,492.492
dmatdmatadd,3193,1,1-1024,5,491.947
dmatdmatadd,3672,1,1-1024,5,496.308
dmatdmatadd,4222,1,1-1024,5,490.031
dmatdmatadd,4855,1,1-1024,5,498.415
dmatdmatadd,5583,1,1-1024,5,498.628
dmatdmatadd,6420,1,1-1024,5,497.951
dmatdmatadd,7000,1,1-1024,5,498.891
dmatdmatadd,1,1,1-1024,10,87.6882
dmatdmatadd,2,1,1-1024,10,282.572
dmatdmatadd,3,1,1-1024,10,548.028
dmatdmatadd,4,1,1-1024,10,838.116
dmatdmatadd,5,1,1-1024,10,935.681
dmatdmatadd,6,1,1-1024,10,1173.17
dmatdmatadd,7,1,1-1024,10,1183.33
dmatdmatadd,8,1,1-1024,10,1662.39
dmatdmatadd,9,1,1-1024,10,1162.1
dmatdmatadd,10,1,1-1024,10,1679.27
dmatdmatadd,11,1,1-1024,10,1874.15
dmatdmatadd,12,1,1-1024,10,2054.75
dmatdmatadd,13,1,1-1024,10,1476.73
dmatdmatadd,14,1,1-1024,10,1649.06
dmatdmatadd,16,1,1-1024,10,1861.28
dmatdmatadd,18,1,1-1024,10,1894.83
dmatdmatadd,20,1,1-1024,10,2104.63
dmatdmatadd,23,1,1-1024,10,2287.08
dmatdmatadd,26,1,1-1024,10,2127.55
dmatdmatadd,30,1,1-1024,10,2325.65
dmatdmatadd,34,1,1-1024,10,2290.05
dmatdmatadd,39,1,1-1024,10,1491.21
dmatdmatadd,45,1,1-1024,10,1500.8
dmatdmatadd,52,1,1-1024,10,1570.78
dmatdmatadd,60,1,1-1024,10,1474.7
dmatdmatadd,69,1,1-1024,10,1537.73
dmatdmatadd,79,1,1-1024,10,1637.14
dmatdmatadd,90,1,1-1024,10,1548.81
dmatdmatadd,103,1,1-1024,10,1488.51
dmatdmatadd,118,1,1-1024,10,1410.68
dmatdmatadd,135,1,1-1024,10,1137.05
dmatdmatadd,155,1,1-1024,10,1079.31
dmatdmatadd,176,1,1-1024,10,1068.83
dmatdmatadd,200,1,1-1024,10,619.224
dmatdmatadd,230,1,1-1024,10,678.407
dmatdmatadd,264,1,1-1024,10,733.681
dmatdmatadd,300,1,1-1024,10,782.651
dmatdmatadd,345,1,1-1024,10,819.971
dmatdmatadd,396,1,1-1024,10,875.986
dmatdmatadd,455,1,1-1024,10,911.67
dmatdmatadd,523,1,1-1024,10,938.854
dmatdmatadd,600,1,1-1024,10,960.17
dmatdmatadd,690,1,1-1024,10,952.073
dmatdmatadd,793,1,1-1024,10,880.516
dmatdmatadd,912,1,1-1024,10,703.62
dmatdmatadd,1048,1,1-1024,10,548.874
dmatdmatadd,1200,1,1-1024,10,481.517
dmatdmatadd,1380,1,1-1024,10,474.723
dmatdmatadd,1587,1,1-1024,10,482.822
dmatdmatadd,1825,1,1-1024,10,487.249
dmatdmatadd,2100,1,1-1024,10,488.849
dmatdmatadd,2415,1,1-1024,10,490.143
dmatdmatadd,2777,1,1-1024,10,491.908
dmatdmatadd,3193,1,1-1024,10,491.548
dmatdmatadd,3672,1,1-1024,10,495.207
dmatdmatadd,4222,1,1-1024,10,489.957
dmatdmatadd,4855,1,1-1024,10,499.205
dmatdmatadd,5583,1,1-1024,10,498.266
dmatdmatadd,6420,1,1-1024,10,498.154
dmatdmatadd,7000,1,1-1024,10,499.313
dmatdmatadd,1,1,1-1024,15,87.6866
dmatdmatadd,2,1,1-1024,15,284.036
dmatdmatadd,3,1,1-1024,15,552.26
dmatdmatadd,4,1,1-1024,15,849.526
dmatdmatadd,5,1,1-1024,15,933.681
dmatdmatadd,6,1,1-1024,15,1173.33
dmatdmatadd,7,1,1-1024,15,1413.92
dmatdmatadd,8,1,1-1024,15,1662.89
dmatdmatadd,9,1,1-1024,15,1497.77
dmatdmatadd,10,1,1-1024,15,1686.69
dmatdmatadd,11,1,1-1024,15,1876.33
dmatdmatadd,12,1,1-1024,15,2061.8
dmatdmatadd,13,1,1-1024,15,1552.91
dmatdmatadd,14,1,1-1024,15,1664.26
dmatdmatadd,16,1,1-1024,15,2198.19
dmatdmatadd,18,1,1-1024,15,1910.44
dmatdmatadd,20,1,1-1024,15,2137.81
dmatdmatadd,23,1,1-1024,15,2341.64
dmatdmatadd,26,1,1-1024,15,2106.9
dmatdmatadd,30,1,1-1024,15,2334.06
dmatdmatadd,34,1,1-1024,15,2315.61
dmatdmatadd,39,1,1-1024,15,1378.31
dmatdmatadd,45,1,1-1024,15,1494.88
dmatdmatadd,52,1,1-1024,15,1578.93
dmatdmatadd,60,1,1-1024,15,1470.33
dmatdmatadd,69,1,1-1024,15,1510.92
dmatdmatadd,79,1,1-1024,15,1575.73
dmatdmatadd,90,1,1-1024,15,1482.65
dmatdmatadd,103,1,1-1024,15,1474.73
dmatdmatadd,118,1,1-1024,15,1371.18
dmatdmatadd,135,1,1-1024,15,1116.84
dmatdmatadd,155,1,1-1024,15,1077.98
dmatdmatadd,176,1,1-1024,15,1066.92
dmatdmatadd,200,1,1-1024,15,624.971
dmatdmatadd,230,1,1-1024,15,681.746
dmatdmatadd,264,1,1-1024,15,736.049
dmatdmatadd,300,1,1-1024,15,788.356
dmatdmatadd,345,1,1-1024,15,823.937
dmatdmatadd,396,1,1-1024,15,879.536
dmatdmatadd,455,1,1-1024,15,911.013
dmatdmatadd,523,1,1-1024,15,941.081
dmatdmatadd,600,1,1-1024,15,959.552
dmatdmatadd,690,1,1-1024,15,949.127
dmatdmatadd,793,1,1-1024,15,865.9
dmatdmatadd,912,1,1-1024,15,704.475
dmatdmatadd,1048,1,1-1024,15,550.724
dmatdmatadd,1200,1,1-1024,15,483.944
dmatdmatadd,1380,1,1-1024,15,474.247
dmatdmatadd,1587,1,1-1024,15,483.19
dmatdmatadd,1825,1,1-1024,15,489.668
dmatdmatadd,2100,1,1-1024,15,490.493
dmatdmatadd,2415,1,1-1024,15,491.885
dmatdmatadd,2777,1,1-1024,15,493.792
dmatdmatadd,3193,1,1-1024,15,491.694
dmatdmatadd,3672,1,1-1024,15,495.912
dmatdmatadd,4222,1,1-1024,15,490.981
dmatdmatadd,4855,1,1-1024,15,498.952
dmatdmatadd,5583,1,1-1024,15,499.056
dmatdmatadd,6420,1,1-1024,15,498.479
