runtime,node,benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,num_elements_uncomplete,chunk_size,grain_size,num_blocks,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1)),L1cache,L2cache,L3cache,cache_line,set_associativity,datatype,cost,simd_size,execution_time,num_tasks,mflops
openmp,marvin,dmatdmatadd,345,1,16,256,4096,1424,44,121440,44,1.0,180224,44.0,0,32768,262144,20971520,8,512,8,67584.0,4,120.7393671113238,1.0,1003.02
openmp,marvin,dmatdmatadd,396,1,16,256,4096,2240,50,158400,50,1.0,204800,50.0,0,32768,262144,20971520,8,512,8,76800.0,4,151.02422112004624,1.0,1038.35
openmp,marvin,dmatdmatadd,455,1,16,256,4096,3184,58,211120,58,1.0,237568,58.0,0,32768,262144,20971520,8,512,8,89088.0,4,198.87524388844255,1.0,1045.56
openmp,marvin,dmatdmatadd,523,1,16,256,4096,176,99,276144,99,1.0,405504,99.0,0,32768,262144,20971520,8,512,8,152064.0,4,268.5681309115095,1.0,1022.37
openmp,marvin,dmatdmatadd,600,1,16,256,4096,1408,114,364800,114,1.0,466944,114.0,0,32768,262144,20971520,8,512,8,175104.0,4,347.01136462219137,1.0,1037.43
openmp,marvin,dmatdmatadd,690,1,16,256,4096,2848,132,485760,132,1.0,540672,132.0,0,32768,262144,20971520,8,512,8,202752.0,4,460.13644662246566,1.0,1040.7
openmp,marvin,dmatdmatadd,793,1,16,256,4096,400,200,634400,200,1.0,819200,200.0,0,32768,262144,20971520,8,512,8,307200.0,4,684.2919226216704,1.0,925.944
openmp,marvin,dmatdmatadd,912,1,16,256,4096,2304,228,831744,228,1.0,933888,228.0,0,32768,262144,20971520,8,512,8,350208.0,4,1195.6185492913205,1.0,695.66
openmp,marvin,dmatdmatadd,1048,1,16,256,4096,384,330,1106688,330,1.0,1351680,330.0,0,32768,262144,20971520,8,512,8,506880.0,4,2157.196028558241,1.0,509.135
openmp,marvin,dmatdmatadd,1200,1,16,256,4096,2816,375,1440000,375,1.0,1536000,375.0,0,32768,262144,20971520,8,512,8,576000.0,4,2996.2609160651605,1.0,480.599
openmp,marvin,dmatdmatadd,1380,1,16,256,4096,1600,522,1920960,522,1.0,2138112,522.0,0,32768,262144,20971520,8,512,8,801792.0,4,4154.241824690297,1.0,458.423
openmp,marvin,dmatdmatadd,1587,1,16,256,4096,816,700,2539200,700,1.0,2867200,700.0,0,32768,262144,20971520,8,512,8,1075200.0,4,5556.386968266769,1.0,453.846
openmp,marvin,dmatdmatadd,200,1,16,512,3200,0,13,41600,13,1.0,41600,13.0,0,32768,262144,20971520,8,512,8,15600.0,4,37.95426511054179,1.0,1053.9
openmp,marvin,dmatdmatadd,230,1,16,512,3712,0,15,55680,15,1.0,55680,15.0,0,32768,262144,20971520,8,512,8,20880.0,4,51.20194823108608,1.0,1051.21
openmp,marvin,dmatdmatadd,264,1,16,512,4224,0,17,71808,17,1.0,71808,17.0,0,32768,262144,20971520,8,512,8,26928.0,4,65.6543200572742,1.0,1061.56
openmp,marvin,dmatdmatadd,300,1,16,512,4800,0,19,91200,19,1.0,91200,19.0,0,32768,262144,20971520,8,512,8,34200.0,4,84.8992528865746,1.0,1060.08
openmp,marvin,dmatdmatadd,345,1,16,512,5568,0,22,122496,22,1.0,122496,22.0,0,32768,262144,20971520,8,512,8,45936.0,4,116.96575170468812,1.0,1035.38
openmp,marvin,dmatdmatadd,396,1,16,512,6336,0,25,158400,25,1.0,158400,25.0,0,32768,262144,20971520,8,512,8,59400.0,4,148.39741466599793,1.0,1056.73
openmp,marvin,dmatdmatadd,455,1,16,512,7296,0,29,211584,29,1.0,211584,29.0,0,32768,262144,20971520,8,512,8,79344.0,4,196.3104926266498,1.0,1059.22
openmp,marvin,dmatdmatadd,523,1,16,512,8192,176,66,276144,66,1.0,540672,66.0,0,32768,262144,20971520,8,512,8,202752.0,4,265.52170969925544,1.0,1034.1
openmp,marvin,dmatdmatadd,600,1,16,512,8192,1408,76,364800,76,1.0,622592,76.0,0,32768,262144,20971520,8,512,8,233472.0,4,343.89209430285433,1.0,1046.84
openmp,marvin,dmatdmatadd,690,1,16,512,8192,2848,88,485760,88,1.0,720896,88.0,0,32768,262144,20971520,8,512,8,270336.0,4,458.3658779385864,1.0,1044.72
openmp,marvin,dmatdmatadd,793,1,16,512,8192,4496,100,634400,100,1.0,819200,100.0,0,32768,262144,20971520,8,512,8,307200.0,4,677.8200334836353,1.0,934.785
openmp,marvin,dmatdmatadd,912,1,16,512,8192,6400,114,831744,114,1.0,933888,114.0,0,32768,262144,20971520,8,512,8,350208.0,4,1133.746987557659,1.0,733.624
openmp,marvin,dmatdmatadd,1048,1,16,512,8192,384,198,1106688,198,1.0,1622016,198.0,0,32768,262144,20971520,8,512,8,608256.0,4,2051.577858058153,1.0,535.346
openmp,marvin,dmatdmatadd,1200,1,16,512,8192,2816,225,1440000,225,1.0,1843200,225.0,0,32768,262144,20971520,8,512,8,691200.0,4,2929.115407147042,1.0,491.616
openmp,marvin,dmatdmatadd,1380,1,16,512,8192,5696,261,1920960,261,1.0,2138112,261.0,0,32768,262144,20971520,8,512,8,801792.0,4,3975.699881004572,1.0,479.01
openmp,marvin,dmatdmatadd,1587,1,16,512,8192,816,400,2539200,400,1.0,3276800,400.0,0,32768,262144,20971520,8,512,8,1228800.0,4,5318.407099803017,1.0,474.154
openmp,marvin,dmatdmatadd,200,1,16,64,1024,128,52,41600,52,1.0,53248,52.0,0,32768,262144,20971520,8,512,8,19968.0,4,41.03245872647558,1.0,974.838
openmp,marvin,dmatdmatadd,230,1,16,64,1024,608,60,55200,60,1.0,61440,60.0,0,32768,262144,20971520,8,512,8,23040.0,4,54.030341875623,1.0,996.181
