benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,chunk_size,num_blocks,mflops,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1))
dmatdmatadd,230,1,32,1024,7360,6,8,809.403,1.3333333333333333,44160,8.0,NA
dmatdmatadd,230,1,32,1024,7360,7,8,803.407,1.1428571428571428,51520,8.0,NA
dmatdmatadd,230,1,32,1024,7360,8,8,886.946,1.0,58880,8.0,NA
dmatdmatadd,230,1,4,1024,920,30,58,802.1,1.9333333333333333,27600,58.0,NA
dmatdmatadd,230,1,4,1024,920,50,58,805.537,1.16,46000,58.0,NA
dmatdmatadd,230,1,4,1024,920,58,58,873.753,1.0,53360,58.0,NA
dmatdmatadd,230,1,4,256,920,50,58,806.99,1.16,46000,58.0,NA
dmatdmatadd,230,1,4,256,920,58,58,878.817,1.0,53360,58.0,NA
dmatdmatadd,230,1,4,512,920,40,58,798.638,1.45,36800,58.0,NA
dmatdmatadd,230,1,4,512,920,50,58,803.14,1.16,46000,58.0,NA
dmatdmatadd,230,1,4,512,920,58,58,881.573,1.0,53360,58.0,NA
dmatdmatadd,230,1,64,64,4096,16,16,822.717,1.0,65536,16.0,NA
dmatdmatadd,230,1,8,1024,1840,29,29,877.982,1.0,53360,29.0,NA
dmatdmatadd,230,1,8,512,1840,20,29,798.278,1.45,36800,29.0,NA
dmatdmatadd,230,1,8,512,1840,29,29,879.197,1.0,53360,29.0,NA
dmatdmatadd,264,1,12,1024,3168,20,22,856.997,1.1,63360,22.0,NA
dmatdmatadd,264,1,12,1024,3168,22,22,918.268,1.0,69696,22.0,NA
dmatdmatadd,264,1,16,1024,4224,9,17,848.684,1.8888888888888888,38016,17.0,NA
dmatdmatadd,264,1,16,1024,4224,10,17,847.822,1.7,42240,17.0,NA
dmatdmatadd,264,1,16,1024,4224,17,17,914.59,1.0,71808,17.0,NA
dmatdmatadd,264,1,20,1024,5280,7,14,853.801,2.0,36960,14.0,NA
dmatdmatadd,264,1,20,1024,5280,8,14,847.382,1.75,42240,14.0,NA
dmatdmatadd,264,1,20,1024,5280,9,14,854.306,1.5555555555555556,47520,14.0,NA
dmatdmatadd,264,1,20,1024,5280,10,14,849.596,1.4,52800,14.0,NA
dmatdmatadd,264,1,20,1024,5280,14,14,924.017,1.0,73920,14.0,NA
dmatdmatadd,264,1,32,1024,8448,5,9,852.547,1.8,42240,9.0,NA
dmatdmatadd,264,1,32,1024,8448,6,9,852.871,1.5,50688,9.0,NA
dmatdmatadd,264,1,32,1024,8448,7,9,859.18,1.2857142857142858,59136,9.0,NA
dmatdmatadd,264,1,32,1024,8448,8,9,864.032,1.125,67584,9.0,NA
dmatdmatadd,264,1,32,1024,8448,9,9,922.55,1.0,76032,9.0,NA
dmatdmatadd,264,1,4,1024,1056,40,66,848.687,1.65,42240,66.0,NA
dmatdmatadd,264,1,4,1024,1056,50,66,847.708,1.32,52800,66.0,NA
dmatdmatadd,264,1,4,1024,1056,60,66,848.471,1.1,63360,66.0,NA
dmatdmatadd,264,1,4,1024,1056,66,66,912.837,1.0,69696,66.0,NA
dmatdmatadd,264,1,4,256,1024,132,132,869.24,1.0,135168,132.0,NA
dmatdmatadd,264,1,4,512,1056,40,66,844.75,1.65,42240,66.0,NA
dmatdmatadd,264,1,4,512,1056,50,66,847.703,1.32,52800,66.0,NA
dmatdmatadd,264,1,4,512,1056,60,66,851.004,1.1,63360,66.0,NA
dmatdmatadd,264,1,4,512,1056,66,66,914.567,1.0,69696,66.0,NA
dmatdmatadd,264,1,64,64,4096,25,25,850.458,1.0,102400,25.0,NA
dmatdmatadd,264,1,8,1024,2112,20,33,850.026,1.65,42240,33.0,NA
dmatdmatadd,264,1,8,1024,2112,30,33,849.48,1.1,63360,33.0,NA
dmatdmatadd,264,1,8,1024,2112,33,33,917.289,1.0,69696,33.0,NA
dmatdmatadd,264,1,8,512,2112,20,33,846.642,1.65,42240,33.0,NA
dmatdmatadd,264,1,8,512,2112,30,33,854.886,1.1,63360,33.0,NA
dmatdmatadd,264,1,8,512,2112,33,33,917.477,1.0,69696,33.0,NA
dmatdmatadd,300,1,12,1024,3600,20,25,888.385,1.25,72000,25.0,NA
dmatdmatadd,300,1,12,1024,3600,25,25,938.244,1.0,90000,25.0,NA
dmatdmatadd,300,1,16,1024,4800,9,19,859.714,2.111111111111111,43200,19.0,NA
dmatdmatadd,300,1,16,1024,4800,10,19,889.945,1.9,48000,19.0,NA
dmatdmatadd,300,1,16,1024,4800,19,19,946.623,1.0,91200,19.0,NA
dmatdmatadd,300,1,20,1024,6000,5,15,857.472,3.0,30000,15.0,NA
dmatdmatadd,300,1,20,1024,6000,6,15,853.085,2.5,36000,15.0,NA
dmatdmatadd,300,1,20,1024,6000,7,15,859.664,2.142857142857143,42000,15.0,NA
dmatdmatadd,300,1,20,1024,6000,8,15,887.622,1.875,48000,15.0,NA
dmatdmatadd,300,1,20,1024,6000,9,15,884.966,1.6666666666666667,54000,15.0,NA
dmatdmatadd,300,1,20,1024,6000,10,15,885.366,1.5,60000,15.0,NA
dmatdmatadd,300,1,20,1024,6000,15,15,945.343,1.0,90000,15.0,NA
dmatdmatadd,300,1,32,1024,9600,4,10,855.86,2.5,38400,10.0,NA
dmatdmatadd,300,1,32,1024,9600,5,10,894.092,2.0,48000,10.0,NA
dmatdmatadd,300,1,32,1024,9600,6,10,892.664,1.6666666666666667,57600,10.0,NA
dmatdmatadd,300,1,32,1024,9600,7,10,888.978,1.4285714285714286,67200,10.0,NA
dmatdmatadd,300,1,32,1024,9600,8,10,889.775,1.25,76800,10.0,NA
dmatdmatadd,300,1,32,1024,9600,9,10,894.259,1.1111111111111112,86400,10.0,NA
dmatdmatadd,300,1,32,1024,9600,10,10,945.913,1.0,96000,10.0,NA
dmatdmatadd,300,1,4,1024,1200,40,75,882.956,1.875,48000,75.0,NA
dmatdmatadd,300,1,4,1024,1200,50,75,881.228,1.5,60000,75.0,NA
dmatdmatadd,300,1,4,1024,1200,60,75,881.854,1.25,72000,75.0,NA
dmatdmatadd,300,1,4,1024,1200,70,75,886.5,1.0714285714285714,84000,75.0,NA
dmatdmatadd,300,1,4,1024,1200,75,75,936.824,1.0,90000,75.0,NA
dmatdmatadd,300,1,4,256,1024,80,150,857.759,1.875,81920,150.0,NA
dmatdmatadd,300,1,4,256,1024,90,150,855.479,1.6666666666666667,92160,150.0,NA
dmatdmatadd,300,1,4,256,1024,100,150,857.164,1.5,102400,150.0,NA
dmatdmatadd,300,1,4,256,1024,150,150,907.285,1.0,153600,150.0,NA
dmatdmatadd,300,1,4,512,1200,40,75,881.575,1.875,48000,75.0,NA
dmatdmatadd,300,1,4,512,1200,50,75,881.972,1.5,60000,75.0,NA
dmatdmatadd,300,1,4,512,1200,60,75,884.308,1.25,72000,75.0,NA
dmatdmatadd,300,1,4,512,1200,70,75,883.599,1.0714285714285714,84000,75.0,NA
dmatdmatadd,300,1,4,512,1200,75,75,938.089,1.0,90000,75.0,NA
dmatdmatadd,300,1,64,64,4096,25,25,864.967,1.0,102400,25.0,NA
dmatdmatadd,300,1,8,1024,2400,20,38,881.382,1.9,48000,38.0,NA
dmatdmatadd,300,1,8,1024,2400,30,38,885.998,1.2666666666666666,72000,38.0,NA
dmatdmatadd,300,1,8,1024,2400,38,38,936.423,1.0,91200,38.0,NA
dmatdmatadd,300,1,8,512,2400,20,38,886.781,1.9,48000,38.0,NA
dmatdmatadd,300,1,8,512,2400,30,38,878.421,1.2666666666666666,72000,38.0,NA
dmatdmatadd,300,1,8,512,2400,38,38,939.461,1.0,91200,38.0,NA
dmatdmatadd,345,1,12,1024,4140,10,29,886.622,2.9,41400,29.0,NA
dmatdmatadd,345,1,12,1024,4140,20,29,916.795,1.45,82800,29.0,NA
dmatdmatadd,345,1,12,1024,4140,29,29,958.712,1.0,120060,29.0,NA
dmatdmatadd,345,1,16,1024,5520,7,22,868.585,3.142857142857143,38640,22.0,NA
dmatdmatadd,345,1,16,1024,5520,8,22,882.334,2.75,44160,22.0,NA
dmatdmatadd,345,1,16,1024,5520,9,22,886.271,2.4444444444444446,49680,22.0,NA
dmatdmatadd,345,1,16,1024,5520,10,22,885.993,2.2,55200,22.0,NA
dmatdmatadd,345,1,16,1024,5520,20,22,919.061,1.1,110400,22.0,NA
dmatdmatadd,345,1,16,1024,5520,22,22,958.465,1.0,121440,22.0,NA
dmatdmatadd,345,1,20,1024,6900,6,18,886.892,3.0,41400,18.0,NA
dmatdmatadd,345,1,20,1024,6900,7,18,887.58,2.5714285714285716,48300,18.0,NA
dmatdmatadd,345,1,20,1024,6900,8,18,885.82,2.25,55200,18.0,NA
dmatdmatadd,345,1,20,1024,6900,9,18,917.285,2.0,62100,18.0,NA
dmatdmatadd,345,1,20,1024,6900,10,18,913.218,1.8,69000,18.0,NA
dmatdmatadd,345,1,20,1024,6900,18,18,957.848,1.0,124200,18.0,NA
dmatdmatadd,345,1,32,1024,11040,4,11,887.983,2.75,44160,11.0,NA
dmatdmatadd,345,1,32,1024,11040,5,11,887.491,2.2,55200,11.0,NA
dmatdmatadd,345,1,32,1024,11040,6,11,918.307,1.8333333333333333,66240,11.0,NA
dmatdmatadd,345,1,32,1024,11040,7,11,916.937,1.5714285714285714,77280,11.0,NA
dmatdmatadd,345,1,32,1024,11040,8,11,916.526,1.375,88320,11.0,NA
dmatdmatadd,345,1,32,1024,11040,9,11,916.482,1.2222222222222223,99360,11.0,NA
dmatdmatadd,345,1,32,1024,11040,10,11,919.19,1.1,110400,11.0,NA
dmatdmatadd,345,1,32,1024,11040,11,11,961.155,1.0,121440,11.0,NA
dmatdmatadd,345,1,4,1024,1380,30,87,880.428,2.9,41400,87.0,NA
dmatdmatadd,345,1,4,1024,1380,40,87,882.543,2.175,55200,87.0,NA
dmatdmatadd,345,1,4,1024,1380,50,87,906.215,1.74,69000,87.0,NA
dmatdmatadd,345,1,4,1024,1380,60,87,903.107,1.45,82800,87.0,NA
dmatdmatadd,345,1,4,1024,1380,70,87,907.766,1.2428571428571429,96600,87.0,NA
dmatdmatadd,345,1,4,1024,1380,80,87,906.883,1.0875,110400,87.0,NA
dmatdmatadd,345,1,4,1024,1380,87,87,948.676,1.0,120060,87.0,NA
dmatdmatadd,345,1,4,256,1024,70,174,865.639,2.4857142857142858,71680,174.0,NA
dmatdmatadd,345,1,4,256,1024,80,174,868.618,2.175,81920,174.0,NA
dmatdmatadd,345,1,4,256,1024,90,174,894.747,1.9333333333333333,92160,174.0,NA
dmatdmatadd,345,1,4,256,1024,100,174,892.786,1.74,102400,174.0,NA
dmatdmatadd,345,1,4,256,1024,174,174,935.402,1.0,178176,174.0,NA
dmatdmatadd,345,1,4,512,1380,30,87,879.359,2.9,41400,87.0,NA
dmatdmatadd,345,1,4,512,1380,40,87,879.851,2.175,55200,87.0,NA
dmatdmatadd,345,1,4,512,1380,50,87,903.042,1.74,69000,87.0,NA
dmatdmatadd,345,1,4,512,1380,60,87,904.401,1.45,82800,87.0,NA
dmatdmatadd,345,1,4,512,1380,70,87,905.398,1.2428571428571429,96600,87.0,NA
dmatdmatadd,345,1,4,512,1380,80,87,908.461,1.0875,110400,87.0,NA
dmatdmatadd,345,1,4,512,1380,87,87,948.17,1.0,120060,87.0,NA
dmatdmatadd,345,1,64,64,4096,36,36,875.586,1.0,147456,36.0,NA
dmatdmatadd,345,1,8,1024,2760,20,44,884.906,2.2,55200,44.0,NA
dmatdmatadd,345,1,8,1024,2760,30,44,908.477,1.4666666666666666,82800,44.0,NA
dmatdmatadd,345,1,8,1024,2760,40,44,916.503,1.1,110400,44.0,NA
dmatdmatadd,345,1,8,1024,2760,44,44,953.79,1.0,121440,44.0,NA
dmatdmatadd,345,1,8,512,2760,20,44,887.515,2.2,55200,44.0,NA
dmatdmatadd,345,1,8,512,2760,30,44,908.853,1.4666666666666666,82800,44.0,NA
dmatdmatadd,345,1,8,512,2760,40,44,914.617,1.1,110400,44.0,NA
dmatdmatadd,345,1,8,512,2760,44,44,955.529,1.0,121440,44.0,NA
dmatdmatadd,396,1,12,1024,4752,8,33,897.526,4.125,38016,33.0,NA
dmatdmatadd,396,1,12,1024,4752,9,33,912.146,3.6666666666666665,42768,33.0,NA
dmatdmatadd,396,1,12,1024,4752,10,33,913.657,3.3,47520,33.0,NA
dmatdmatadd,396,1,12,1024,4752,20,33,955.152,1.65,95040,33.0,NA
dmatdmatadd,396,1,12,1024,4752,30,33,958.87,1.1,142560,33.0,NA
dmatdmatadd,396,1,12,1024,4752,33,33,993.002,1.0,156816,33.0,NA
dmatdmatadd,396,1,16,1024,6336,6,25,896.475,4.166666666666667,38016,25.0,NA
dmatdmatadd,396,1,16,1024,6336,7,25,907.376,3.5714285714285716,44352,25.0,NA
dmatdmatadd,396,1,16,1024,6336,8,25,915.684,3.125,50688,25.0,NA
dmatdmatadd,396,1,16,1024,6336,9,25,933.703,2.7777777777777777,57024,25.0,NA
dmatdmatadd,396,1,16,1024,6336,10,25,934.245,2.5,63360,25.0,NA
dmatdmatadd,396,1,16,1024,6336,20,25,953.345,1.25,126720,25.0,NA
dmatdmatadd,396,1,16,1024,6336,25,25,995.757,1.0,158400,25.0,NA
dmatdmatadd,396,1,20,1024,7920,5,20,915.243,4.0,39600,20.0,NA
dmatdmatadd,396,1,20,1024,7920,6,20,914.594,3.3333333333333335,47520,20.0,NA
dmatdmatadd,396,1,20,1024,7920,7,20,933.36,2.857142857142857,55440,20.0,NA
dmatdmatadd,396,1,20,1024,7920,8,20,934.459,2.5,63360,20.0,NA
dmatdmatadd,396,1,20,1024,7920,9,20,935.017,2.2222222222222223,71280,20.0,NA
dmatdmatadd,396,1,20,1024,7920,10,20,955.302,2.0,79200,20.0,NA
dmatdmatadd,396,1,20,1024,7920,20,20,994.088,1.0,158400,20.0,NA
dmatdmatadd,396,1,32,1024,12672,3,13,897.93,4.333333333333333,38016,13.0,NA
dmatdmatadd,396,1,32,1024,12672,4,13,917.917,3.25,50688,13.0,NA
dmatdmatadd,396,1,32,1024,12672,5,13,934.66,2.6,63360,13.0,NA
dmatdmatadd,396,1,32,1024,12672,6,13,940.032,2.1666666666666665,76032,13.0,NA
dmatdmatadd,396,1,32,1024,12672,7,13,951.977,1.8571428571428572,88704,13.0,NA
dmatdmatadd,396,1,32,1024,12672,8,13,957.501,1.625,101376,13.0,NA
dmatdmatadd,396,1,32,1024,12672,9,13,958.913,1.4444444444444444,114048,13.0,NA
dmatdmatadd,396,1,32,1024,12672,10,13,955.465,1.3,126720,13.0,NA
dmatdmatadd,396,1,32,1024,12672,13,13,995.208,1.0,164736,13.0,NA
dmatdmatadd,396,1,4,1024,1584,30,99,902.601,3.3,47520,99.0,NA
dmatdmatadd,396,1,4,1024,1584,40,99,923.753,2.475,63360,99.0,NA
dmatdmatadd,396,1,4,1024,1584,50,99,944.095,1.98,79200,99.0,NA
dmatdmatadd,396,1,4,1024,1584,60,99,948.26,1.65,95040,99.0,NA
dmatdmatadd,396,1,4,1024,1584,70,99,948.326,1.4142857142857144,110880,99.0,NA
dmatdmatadd,396,1,4,1024,1584,80,99,947.929,1.2375,126720,99.0,NA
dmatdmatadd,396,1,4,1024,1584,90,99,947.343,1.1,142560,99.0,NA
dmatdmatadd,396,1,4,1024,1584,99,99,977.894,1.0,156816,99.0,NA
dmatdmatadd,396,1,4,256,1024,50,198,899.444,3.96,51200,198.0,NA
dmatdmatadd,396,1,4,256,1024,60,198,898.196,3.3,61440,198.0,NA
dmatdmatadd,396,1,4,256,1024,70,198,918.977,2.8285714285714287,71680,198.0,NA
dmatdmatadd,396,1,4,256,1024,80,198,918.022,2.475,81920,198.0,NA
dmatdmatadd,396,1,4,256,1024,90,198,916.474,2.2,92160,198.0,NA
dmatdmatadd,396,1,4,256,1024,100,198,936.804,1.98,102400,198.0,NA
dmatdmatadd,396,1,4,256,1024,198,198,975.981,1.0,202752,198.0,NA
dmatdmatadd,396,1,4,512,1584,30,99,900.705,3.3,47520,99.0,NA
dmatdmatadd,396,1,4,512,1584,40,99,925.038,2.475,63360,99.0,NA
dmatdmatadd,396,1,4,512,1584,50,99,943.879,1.98,79200,99.0,NA
dmatdmatadd,396,1,4,512,1584,60,99,943.934,1.65,95040,99.0,NA
dmatdmatadd,396,1,4,512,1584,70,99,946.13,1.4142857142857144,110880,99.0,NA
dmatdmatadd,396,1,4,512,1584,80,99,945.936,1.2375,126720,99.0,NA
dmatdmatadd,396,1,4,512,1584,90,99,946.417,1.1,142560,99.0,NA
dmatdmatadd,396,1,4,512,1584,99,99,983.597,1.0,156816,99.0,NA
dmatdmatadd,396,1,64,64,4096,49,49,917.504,1.0,200704,49.0,NA
dmatdmatadd,396,1,8,1024,3168,20,50,928.601,2.5,63360,50.0,NA
dmatdmatadd,396,1,8,1024,3168,30,50,950.699,1.6666666666666667,95040,50.0,NA
dmatdmatadd,396,1,8,1024,3168,40,50,951.163,1.25,126720,50.0,NA
dmatdmatadd,396,1,8,1024,3168,50,50,987.624,1.0,158400,50.0,NA
dmatdmatadd,396,1,8,512,3168,20,50,927.097,2.5,63360,50.0,NA
dmatdmatadd,396,1,8,512,3168,30,50,951.665,1.6666666666666667,95040,50.0,NA
dmatdmatadd,396,1,8,512,3168,40,50,953.904,1.25,126720,50.0,NA
dmatdmatadd,396,1,8,512,3168,50,50,990.425,1.0,158400,50.0,NA
dmatdmatadd,455,1,12,1024,5460,7,38,910.577,5.428571428571429,38220,38.0,NA
dmatdmatadd,455,1,12,1024,5460,8,38,923.621,4.75,43680,38.0,NA
dmatdmatadd,455,1,12,1024,5460,9,38,925.847,4.222222222222222,49140,38.0,NA
dmatdmatadd,455,1,12,1024,5460,10,38,940.527,3.8,54600,38.0,NA
dmatdmatadd,455,1,12,1024,5460,20,38,975.841,1.9,109200,38.0,NA
dmatdmatadd,455,1,12,1024,5460,30,38,979.178,1.2666666666666666,163800,38.0,NA
dmatdmatadd,455,1,12,1024,5460,38,38,1006.88,1.0,207480,38.0,NA
dmatdmatadd,455,1,16,1024,7280,5,29,912.499,5.8,36400,29.0,NA
dmatdmatadd,455,1,16,1024,7280,6,29,926.536,4.833333333333333,43680,29.0,NA
dmatdmatadd,455,1,16,1024,7280,7,29,930.299,4.142857142857143,50960,29.0,NA
dmatdmatadd,455,1,16,1024,7280,8,29,942.786,3.625,58240,29.0,NA
dmatdmatadd,455,1,16,1024,7280,9,29,945.204,3.2222222222222223,65520,29.0,NA
dmatdmatadd,455,1,16,1024,7280,10,29,957.069,2.9,72800,29.0,NA
dmatdmatadd,455,1,16,1024,7280,20,29,976.326,1.45,145600,29.0,NA
dmatdmatadd,455,1,16,1024,7280,29,29,1007.57,1.0,211120,29.0,NA
dmatdmatadd,455,1,20,1024,9100,4,23,910.437,5.75,36400,23.0,NA
dmatdmatadd,455,1,20,1024,9100,5,23,925.051,4.6,45500,23.0,NA
dmatdmatadd,455,1,20,1024,9100,6,23,941.689,3.8333333333333335,54600,23.0,NA
dmatdmatadd,455,1,20,1024,9100,7,23,940.69,3.2857142857142856,63700,23.0,NA
dmatdmatadd,455,1,20,1024,9100,8,23,958.52,2.875,72800,23.0,NA
dmatdmatadd,455,1,20,1024,9100,9,23,960.507,2.5555555555555554,81900,23.0,NA
dmatdmatadd,455,1,20,1024,9100,10,23,958.978,2.3,91000,23.0,NA
dmatdmatadd,455,1,20,1024,9100,20,23,978.404,1.15,182000,23.0,NA
dmatdmatadd,455,1,20,1024,9100,23,23,1007.58,1.0,209300,23.0,NA
dmatdmatadd,455,1,32,1024,14560,3,15,925.325,5.0,43680,15.0,NA
dmatdmatadd,455,1,32,1024,14560,4,15,942.907,3.75,58240,15.0,NA
dmatdmatadd,455,1,32,1024,14560,5,15,959.547,3.0,72800,15.0,NA
dmatdmatadd,455,1,32,1024,14560,6,15,956.629,2.5,87360,15.0,NA
dmatdmatadd,455,1,32,1024,14560,7,15,964.609,2.142857142857143,101920,15.0,NA
dmatdmatadd,455,1,32,1024,14560,8,15,976.356,1.875,116480,15.0,NA
dmatdmatadd,455,1,32,1024,14560,9,15,977.765,1.6666666666666667,131040,15.0,NA
dmatdmatadd,455,1,32,1024,14560,10,15,978.816,1.5,145600,15.0,NA
dmatdmatadd,455,1,32,1024,14560,15,15,1007.77,1.0,218400,15.0,NA
dmatdmatadd,455,1,4,1024,1820,30,114,934.815,3.8,54600,114.0,NA
dmatdmatadd,455,1,4,1024,1820,40,114,951.559,2.85,72800,114.0,NA
dmatdmatadd,455,1,4,1024,1820,50,114,949.46,2.28,91000,114.0,NA
