grain_size,t1,t2,t4,t8,t12,t16
160,112.140157702,61.702850254,45.446866047,46.498517213,94.447446953,95.745123662
320,57.696462423,34.063300544,25.463259538,23.812967621,48.502309144,48.030180781
640,30.783627997,20.844110213,14.238775466,13.09149761,24.447931087,24.600957529
1000,20.718090733,15.52673334,9.237496046,8.710643418,15.883795124,16.239291325
1250,17.82380973,13.771653103,8.030126043,7.170086381,13.050956621,13.343463223
1280,17.436866146,13.498256549,7.904104101,7.001549608,12.711640253,12.940863999
1600,15.533059288,11.783704778,7.175267856,5.942017555,10.31013858,10.649529347
2000,13.661871134,10.196297756,6.544018632,5.31389273,8.591646399,9.080483773
2500,11.958798304,8.983378033,6.010056703,4.781398385,7.0542325,7.336402392
3125,11.115135752,8.104236833,5.533026949,4.738938435,5.901373865,6.195393059
3200,11.117792241,7.991091834,5.480335885,4.720540886,5.904819318,6.052947293
4000,10.123380877,7.28088128,5.045693258,4.633854007,4.974671225,5.189459575
5000,9.231048622,6.665411508,4.595409183,4.551749991,4.404590988,4.542590856
6250,8.987782724,6.267304852,4.389651363,4.476199116,3.88973988,4.159255608
6400,8.897258336,6.215280871,4.414336749,4.487844575,3.867117057,3.999872131
8000,9.155335864,5.844070031,4.070894731,4.38674166,3.569227842,3.740991952
10000,8.935680456,5.517011483,3.886583091,4.236465264,3.405789779,3.449038258
12500,8.160630262,5.176059894,3.67224651,3.732604351,3.309821734,2.657846793
15625,7.662030427,4.903338394,3.487980794,3.239255483,2.793249417,2.753247264
16000,7.906479313,4.826666324,3.480718135,3.171405345,2.799194017,2.738674935
20000,7.480105961,4.583576158,3.418687827,2.945123108,2.904494517,2.244537016
25000,6.805608047,4.380336599,3.270551954,2.824905127,2.678870139,2.226276481
31250,6.677064511,4.259310016,3.290847618,2.868956429,2.698209216,2.25890178
32000,6.512866401,4.246168553,3.265963546,2.927599797,2.588269604,2.252460615
40000,6.362010412,4.123038023,3.281881685,2.804512174,2.534829998,2.315740951
50000,6.281936988,4.079137378,3.252687725,2.859735091,2.473531153,2.403305315
62500,6.05976795,4.027784085,3.317696693,3.093847785,2.438579377,2.43275109
78125,6.042405994,3.876226774,3.356030112,3.244580653,2.456436841,2.560561253
80000,6.03421224,3.798214681,3.337842854,3.28931404,2.593994436,2.560949122
100000,6.192253972,4.002196928,3.420426395,3.504931441,2.772384547,2.676185184
125000,5.888908615,3.688552074,3.484566492,3.694331417,2.731889331,2.802661994
156250,5.962713573,3.690187233,3.554949251,3.824630611,2.941472794,2.922406677
160000,5.817118207,3.780755015,3.563338239,3.838109243,2.906836041,2.90959501
200000,5.772470693,4.002370638,3.626174707,3.897011595,2.800511125,3.017253667
250000,5.749941541,4.026050331,3.710288793,3.913712391,2.977983418,3.034121282
312500,5.748101038,4.119283319,3.786215223,3.916855285,3.086099348,3.087518678
390625,5.787495531,4.21507181,3.842217686,3.914463169,3.033535065,3.085932944
400000,5.93446673,4.218508904,3.844542488,3.916421046,3.132878648,3.081650383
500000,5.896562862,4.284924938,3.854543432,3.91089336,3.071058304,3.078631169
625000,6.075295511,4.361425524,3.85835821,3.906502262,3.093123671,3.121027089
781250,6.326691161,4.404908394,3.851634212,3.905494037,2.97076573,3.07379139
800000,6.204644031,4.401871269,3.849346075,3.90269683,3.051941689,3.068095233
1000000,6.343927038,4.411521642,3.845060474,3.898859048,3.061660035,3.077720446
1250000,6.350120679,4.406096072,3.837643496,3.897123311,3.107473409,3.102601183
1562500,6.387907167,4.401229634,3.833837104,3.897451782,3.10069257,3.057680416
2000000,6.310179279,4.388789025,3.835099972,3.894807898,3.042439603,3.043119769
2500000,6.306324003,4.383830184,3.834813191,3.896758831,3.065730337,3.016206006
3125000,6.350375764,4.359415158,3.835176205,3.896234055,3.030314347,3.057961069
6250000,6.379976572,4.342001797,3.835978352,3.893015673,3.079388228,3.072765554
12500000,6.337440653,4.344385626,3.840949554,3.859086309,3.187855513,3.517928833
25000000,6.353712821,4.38278032,3.951576176,3.884483899,3.667785698,3.750019619
50000000,6.41932651,4.378287611,4.440248447,4.478277064,4.892297192,4.627288008
100000000,6.373146678,6.66273359,6.814564633,7.03589599,7.705717148,7.82701903
