runtime,node,benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,work_per_core,w1,w2,w3,w4,w5,w6,w7,w8,chunk_size,grain_size,num_blocks,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1)),L1cache,L2cache,L3cache,cache_line,set_associativity,datatype,cost,simd_size,execution_time,num_tasks,mflops
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,16384,12250,3062.5,16384,12250.0,0,32768,262144,20971520,8,512,8,6144.0,4,128190.70591220768,3063.0,382.243
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,13840,173,34.6,13840,173.0,0,32768,262144,20971520,8,512,8,5190.0,4,594.924675020465,35.0,802.589
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,16896,5280,1056.0,20480,5280.0,0,32768,262144,20971520,8,512,8,7680.0,4,52316.579686166144,1056.0,340.881
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20480,11235,2247.0,20480,11235.0,0,32768,262144,20971520,8,512,8,7680.0,4,104721.78464352863,2247.0,393.58
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20480,12250,2450.0,20480,12250.0,0,32768,262144,20971520,8,512,8,7680.0,4,122987.64601645526,2450.0,398.414
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,16608,173,28.833333333333332,16608,173.0,0,32768,262144,20971520,8,512,8,6228.0,4,575.1953336754533,29.0,830.118
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20992,5280,880.0,24576,5280.0,0,32768,262144,20971520,8,512,8,9216.0,4,48947.23147777113,880.0,364.346
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,24576,11235,1872.5,24576,11235.0,0,32768,262144,20971520,8,512,8,9216.0,4,100905.83258255318,1873.0,408.464
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,24576,12250,2041.6666666666667,24576,12250.0,0,32768,262144,20971520,8,512,8,9216.0,4,121977.63079611563,2042.0,401.713
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,19376,173,24.714285714285715,19376,173.0,0,32768,262144,20971520,8,512,8,7266.0,4,560.6238860435791,25.0,851.694
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,25088,5280,754.2857142857143,28672,5280.0,0,32768,262144,20971520,8,512,8,10752.0,4,52374.34986270392,755.0,340.505
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,25680,11235,1605.0,28672,11235.0,0,32768,262144,20971520,8,512,8,10752.0,4,100275.16038858193,1605.0,411.033
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,28000,12250,1750.0,28672,12250.0,0,32768,262144,20971520,8,512,8,10752.0,4,119698.45759987492,1750.0,409.362
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,22144,173,21.625,22144,173.0,0,32768,262144,20971520,8,512,8,8304.0,4,558.3477359951168,22.0,855.166
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,29184,5280,660.0,32768,5280.0,0,32768,262144,20971520,8,512,8,12288.0,4,51582.37136750035,660.0,345.733
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,29776,11235,1404.375,32768,11235.0,0,32768,262144,20971520,8,512,8,12288.0,4,100955.7588019458,1405.0,408.262
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,32096,12250,1531.25,32768,12250.0,0,32768,262144,20971520,8,512,8,12288.0,4,115328.30909869749,1532.0,424.874
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,24912,173,19.22222222222222,24912,173.0,0,32768,262144,20971520,8,512,8,9342.0,4,539.0844100419544,20.0,885.724
