
 Dense Matrix/Dense Matrix Addition:
   Blaze [MFlop/s]:
     200         632.329
     230         688.377
     264         739.496
     300         788.84
     345         827.589
     396         870.201
     455         894.589
     523         924.997
     600         923.189
     690         922.539
     793         407.685
     912         384.835
     1048        383.742
     1200        357.348
     1380        344.429
     1587        350.18
/threads{locality#0/total}/idle-rate,1,173.424408,[s],466,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,173.424427,[s],466,[0.01%]
/threads{locality#0/total}/time/average,1,173.424430,[s],29584,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,173.424431,[s],29584,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,173.424434,[s],8.01692e+09,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,173.424435,[s],8.01692e+09,[ns]
/threads{locality#0/total}/count/cumulative,1,173.424437,[s],5.54139e+06
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,173.424438,[s],5.54139e+06
/threads{locality#0/total}/time/average-overhead,1,173.424441,[s],1446,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,173.424442,[s],1446,[ns]
