
 Daxpy product:
   Blaze [MFlop/s]:
     1           321.132
     2           642.162
     3           963.362
     4           1284.46
     5           1344.44
     6           1613.51
     7           1882.11
     8           2151.7
     9           2186.92
     10          2429.23
     11          2673.09
     12          2904.74
     13          3132.17
     14          3373.27
     15          3615.05
     16          3855.42
     17          3542.07
     18          3748.96
     19          3948.67
     20          4166.37
     22          4200.17
     24          4581.3
     26          4507.65
     28          4858.89
     30          5030.44
     33          4912.87
     36          5357.85
     39          5303.43
     42          5145.86
     46          5383.56
     50          5516.12
     55          5785.4
     60          6110.13
     66          6175.2
     72          6529.02
     79          6554.98
     86          6926.7
     94          7090.8
     103         7222.75
     113         7191.27
     124         7504.88
     136         7729.63
     149         7673.12
     163         7789.12
     179         7804.21
     196         7862.94
     215         8268.4
     236         8283.01
     259         8255.66
     284         8445.32
     312         8697.63
     343         8666.47
     377         8600.55
     414         8910.14
     455         9044.16
     500         9410.97
     550         8787.46
     605         9184.86
     665         8640.36
     731         8745.45
     804         8868.74
     884         8956.74
     972         8838.63
     1069        9453.44
     1175        9277.59
     1292        9025
     1421        9494.49
     1563        7719.93
     1719        9376.78
     1890        9184.2
     2079        6241.34
     2286        4108.84
     2514        4098.78
     2765        4036.81
     3041        4019.41
     3345        4069.45
     3679        4038.06
     4046        4087.86
     4450        4048.26
     4895        4088.44
     5384        4089.11
     5922        4083.68
     6514        4075.56
     7165        3600.82
     7881        4085.28
     8669        4042.27
     9535        4057.24
     10488       3969.92
     11536       3828.58
     12689       3797.35
     13957       3728.76
     15352       3341.35
     16887       3223.95
     18575       3475.31
     20432       3439.53
     22475       3346.55
     24722       3242.94
     27194       3179.16
     29913       2980.26
     32904       2906.75
     36194       2878.94
     39813       5691.33
     43794       5655.44
     48173       5844.2
     52990       6058.35
     58289       6165.73
     64117       6297.36
     70528       6217.4
     77580       6518.65
     85338       5884.41
     93871       5989.47
     103258      5864.19
     113583      6099.05
     124941      6800.68
     137435      6872.88
     151178      7189.15
     166295      5720.01
     182924      6046.49
     201216      5881.57
     221337      5691.02
     243470      5798.78
     267817      5722.51
     294598      5681.05
     324057      6361.63
     356462      7406.6
     392108      7479.53
     431318      7448.21
     474449      7135.83
     521893      7535.05
     574082      7311.09
     631490      7412.77
     694639      7605.05
     764102      7685.95
     840512      7562.46
     924563      7420.31
     1017019     7590.13
     1118720     6376.87
     1230592     6629.69
     1353651     6969.55
     1489016     5711.19
     1637917     5390.04
     1801708     4611.76
     1981878     5169.26
     2180065     4433.64
     2398071     4113.37
     2637878     3700.53
     2901665     3190.91
     3191831     2938.89
     3511014     2930.67
     3862115     2356.34
     4248326     2537.25
     4673158     2518.2
     5140474     2240.57
     5654521     2083.94
     6219973     2467.05
     6841970     2207.56
     7526167     2181.83
     8278784     2082.03
     9106663     2094.49
     10000000    2202.24
   N=1, steps=321684217
     Blaze       = 1        (2.00344)
   N=2, steps=321712159
     Blaze       = 1        (2.00393)
   N=3, steps=321498300
     Blaze       = 1        (2.00235)
   N=4, steps=321613646
     Blaze       = 1        (2.00311)
   N=5, steps=275484564
     Blaze       = 1        (2.04906)
   N=6, steps=193010662
     Blaze       = 1        (1.43546)
   N=7, steps=275730139
     Blaze       = 1        (2.05101)
   N=8, steps=275705292
     Blaze       = 1        (2.05014)
   N=9, steps=246348835
     Blaze       = 1        (2.02764)
   N=10, steps=160826117
     Blaze       = 1        (1.32409)
   N=11, steps=246357028
     Blaze       = 1        (2.02756)
   N=12, steps=246496398
     Blaze       = 1        (2.03664)
   N=13, steps=263182478
     Blaze       = 1        (2.18467)
   N=14, steps=263145079
     Blaze       = 1        (2.18425)
   N=15, steps=263156396
     Blaze       = 1        (2.18384)
   N=16, steps=165536513
     Blaze       = 1        (1.37396)
   N=17, steps=219219149
     Blaze       = 1        (2.10426)
   N=18, steps=219112322
     Blaze       = 1        (2.10406)
   N=19, steps=205334635
     Blaze       = 1        (1.97604)
   N=20, steps=219192689
     Blaze       = 1        (2.1044)
   N=22, steps=192600326
     Blaze       = 1        (2.01764)
   N=24, steps=192359062
     Blaze       = 1        (2.01542)
   N=26, steps=171070826
     Blaze       = 1        (1.97346)
   N=28, steps=176491708
     Blaze       = 1        (2.03411)
   N=30, steps=134656662
     Blaze       = 1        (1.6061)
   N=33, steps=151574129
     Blaze       = 1        (2.03626)
   N=36, steps=151458639
     Blaze       = 1        (2.03533)
   N=39, steps=139360191
     Blaze       = 1        (2.04963)
   N=42, steps=123403168
     Blaze       = 1        (2.01441)
   N=46, steps=123201913
     Blaze       = 1        (2.10541)
   N=50, steps=111768092
     Blaze       = 1        (2.02621)
   N=55, steps=106864612
     Blaze       = 1        (2.03186)
   N=60, steps=99766697
     Blaze       = 1        (1.95937)
   N=66, steps=90958348
     Blaze       = 1        (1.94431)
   N=72, steps=91910016
     Blaze       = 1        (2.02711)
   N=79, steps=84435991
     Blaze       = 1        (2.03523)
   N=86, steps=76270146
     Blaze       = 1        (1.8939)
   N=94, steps=75327718
     Blaze       = 1        (1.99718)
   N=103, steps=69966576
     Blaze       = 1        (1.99552)
   N=113, steps=64242103
     Blaze       = 1        (2.01894)
   N=124, steps=61110502
     Blaze       = 1        (2.01941)
   N=136, steps=56473360
     Blaze       = 1        (1.98726)
   N=149, steps=51300651
     Blaze       = 1        (1.99236)
   N=163, steps=48747447
     Blaze       = 1        (2.04024)
   N=179, steps=44973220
     Blaze       = 1        (2.06304)
   N=196, steps=41979361
     Blaze       = 1        (2.09284)
   N=215, steps=36627304
     Blaze       = 1        (1.90481)
   N=236, steps=35730875
     Blaze       = 1        (2.03609)
   N=259, steps=32527493
     Blaze       = 1        (2.04093)
   N=284, steps=30464717
     Blaze       = 1        (2.04894)
   N=312, steps=27387889
     Blaze       = 1        (1.96491)
   N=343, steps=25033901
     Blaze       = 1        (1.98157)
   N=377, steps=23371347
     Blaze       = 1        (2.04894)
   N=414, steps=20816445
     Blaze       = 1        (1.93443)
   N=455, steps=19279636
     Blaze       = 1        (1.93987)
   N=500, steps=17257392
     Blaze       = 1        (1.83375)
   N=550, steps=15924003
     Blaze       = 1        (1.99334)
   N=605, steps=14283974
     Blaze       = 1        (1.88175)
   N=665, steps=13234999
     Blaze       = 1        (2.03725)
   N=731, steps=11962981
     Blaze       = 1        (1.99988)
   N=804, steps=11076703
     Blaze       = 1        (2.00833)
   N=884, steps=10166883
     Blaze       = 1        (2.00687)
   N=972, steps=9195413
     Blaze       = 1        (2.02247)
   N=1069, steps=8399429
     Blaze       = 1        (1.89962)
   N=1175, steps=7664385
     Blaze       = 1        (1.94138)
   N=1292, steps=7233849
     Blaze       = 1        (2.07116)
   N=1421, steps=6414858
     Blaze       = 1        (1.92017)
   N=1563, steps=4686181
     Blaze       = 1        (1.89756)
   N=1719, steps=5362529
     Blaze       = 1        (1.96617)
   N=1890, steps=4423944
     Blaze       = 1        (1.82079)
   N=2079, steps=3180123
     Blaze       = 1        (2.11861)
   N=2286, steps=1836624
     Blaze       = 1        (2.04365)
   N=2514, steps=1612122
     Blaze       = 1        (1.9776)
   N=2765, steps=1454347
     Blaze       = 1        (1.9923)
   N=3041, steps=1342160
     Blaze       = 1        (2.0309)
   N=3345, steps=1219058
     Blaze       = 1        (2.00408)
   N=3679, steps=1101547
     Blaze       = 1        (2.0072)
   N=4046, steps=1015506
     Blaze       = 1        (2.01022)
   N=4450, steps=915476
     Blaze       = 1        (2.01265)
   N=4895, steps=840331
     Blaze       = 1        (2.01222)
   N=5384, steps=766126
     Blaze       = 1        (2.01747)
   N=5922, steps=696280
     Blaze       = 1        (2.01944)
   N=6514, steps=631042
     Blaze       = 1        (2.0172)
   N=7165, steps=502501
     Blaze       = 1        (1.99978)
   N=7881, steps=519920
     Blaze       = 1        (2.00598)
   N=8669, steps=467390
     Blaze       = 1        (2.00471)
   N=9535, steps=427282
     Blaze       = 1        (2.00833)
   N=10488, steps=388574
     Blaze       = 1        (2.05312)
   N=11536, steps=348946
     Blaze       = 1        (2.10283)
   N=12689, steps=306088
     Blaze       = 1        (2.04561)
   N=13957, steps=273052
     Blaze       = 1        (2.04411)
   N=15352, steps=219581
     Blaze       = 1        (2.01775)
   N=16887, steps=204588
     Blaze       = 1        (2.14325)
   N=18575, steps=182026
     Blaze       = 1        (1.9458)
   N=20432, steps=158658
     Blaze       = 1        (1.88497)
   N=22475, steps=141525
     Blaze       = 1        (1.90093)
   N=24722, steps=122944
     Blaze       = 1        (1.87448)
   N=27194, steps=110454
     Blaze       = 1        (1.88961)
   N=29913, steps=98013
     Blaze       = 1        (1.96752)
   N=32904, steps=87365
     Blaze       = 1        (1.97792)
   N=36194, steps=78740
     Blaze       = 1        (1.97983)
   N=39813, steps=141385
     Blaze       = 1        (1.97808)
   N=43794, steps=124573
