
 Daxpy product:
   Blaze [MFlop/s]:
   N=884, steps=10019938
     Blaze       = 1        (1.9652)
   N=972, steps=9730438
     Blaze       = 1        (2.04155)
   N=1069, steps=8384410
     Blaze       = 1        (2.00324)
   N=1175, steps=7684687
     Blaze       = 1        (1.99185)
   N=1292, steps=7366103
     Blaze       = 1        (2.01322)
   N=1421, steps=6402168
     Blaze       = 1        (1.99264)
   N=1563, steps=4701987
     Blaze       = 1        (2.00241)
   N=1719, steps=5344410
     Blaze       = 1        (2.00159)
   N=1890, steps=4861831
     Blaze       = 1        (1.99707)
   N=2079, steps=3150162
     Blaze       = 1        (1.99995)
   N=2286, steps=1845037
     Blaze       = 1        (1.99929)
   N=2514, steps=1615496
     Blaze       = 1        (1.98833)
   N=2765, steps=1467792
     Blaze       = 1        (1.99987)
   N=3041, steps=1350485
     Blaze       = 1        (2.013)
   N=3345, steps=1216932
     Blaze       = 1        (1.99806)
   N=3679, steps=1099274
     Blaze       = 1        (1.98793)
   N=4046, steps=1012392
     Blaze       = 1        (1.98961)
   N=4450, steps=908565
     Blaze       = 1        (1.99636)
   N=4895, steps=836654
     Blaze       = 1        (1.9963)
   N=5384, steps=766902
     Blaze       = 1        (2.00359)
   N=5922, steps=689367
     Blaze       = 1        (2.00088)
   N=6514, steps=626920
     Blaze       = 1        (1.9971)
   N=7165, steps=503962
     Blaze       = 1        (2.00141)
   N=7881, steps=520538
     Blaze       = 1        (1.99536)
   N=8669, steps=465899
     Blaze       = 1        (1.99432)
   N=9535, steps=428174
     Blaze       = 1        (2.00239)
   N=10488, steps=393697
     Blaze       = 1        (2.00846)
   N=11536, steps=354855
     Blaze       = 1        (2.00624)
   N=12689, steps=321410
     Blaze       = 1        (2.02162)
   N=13957, steps=290987
     Blaze       = 1        (2.08054)
   N=15352, steps=232041
     Blaze       = 1        (2.17631)
   N=16887, steps=221334
     Blaze       = 1        (2.35354)
   N=18575, steps=191540
     Blaze       = 1        (2.01496)
   N=20432, steps=167859
     Blaze       = 1        (2.06044)
   N=22475, steps=148366
     Blaze       = 1        (2.10421)
   N=24722, steps=129601
     Blaze       = 1        (2.05698)
   N=27194, steps=108957
     Blaze       = 1        (1.92199)
   N=29913, steps=95507
     Blaze       = 1        (1.84729)
   N=32904, steps=86132
     Blaze       = 1        (1.89699)
   N=36194, steps=78014
     Blaze       = 1        (1.91245)
   N=39813, steps=42092
     Blaze       = 1        (2.07536)
   N=43794, steps=39949
     Blaze       = 1        (2.0149)
   N=48173, steps=38524
     Blaze       = 1        (2.02697)
   N=52990, steps=36001
     Blaze       = 1        (1.98021)
   N=58289, steps=33779
     Blaze       = 1        (1.96327)
   N=64117, steps=32792
     Blaze       = 1        (2.00419)
   N=70528, steps=31434
     Blaze       = 1        (1.97649)
   N=77580, steps=30098
     Blaze       = 1        (2.02787)
   N=85338, steps=28453
     Blaze       = 1        (2.00455)
   N=93871, steps=26608
     Blaze       = 1        (1.93023)
   N=103258, steps=25733
     Blaze       = 1        (1.97856)
   N=113583, steps=24198
     Blaze       = 1        (1.93827)
   N=124941, steps=22833
     Blaze       = 1        (1.96458)
   N=137435, steps=21484
     Blaze       = 1        (1.97162)
   N=151178, steps=20211
     Blaze       = 1        (1.94865)
   N=166295, steps=18900
     Blaze       = 1        (1.94397)
   N=182924, steps=17670
     Blaze       = 1        (1.97678)
   N=201216, steps=16616
     Blaze       = 1        (2.029)
   N=221337, steps=15557
     Blaze       = 1        (1.96358)
   N=243470, steps=14732
     Blaze       = 1        (1.97887)
   N=267817, steps=13561
     Blaze       = 1        (1.97332)
   N=294598, steps=12731
     Blaze       = 1        (1.95941)
   N=324057, steps=11723
     Blaze       = 1        (1.96565)
   N=356462, steps=11002
     Blaze       = 1        (1.98211)
   N=392108, steps=10257
     Blaze       = 1        (2.00008)
   N=431318, steps=9582
     Blaze       = 1        (2.00029)
   N=474449, steps=8708
     Blaze       = 1        (1.9462)
   N=521893, steps=8083
     Blaze       = 1        (1.94396)
   N=574082, steps=7445
     Blaze       = 1        (1.95737)
   N=631490, steps=6830
     Blaze       = 1        (1.94884)
   N=694639, steps=6319
     Blaze       = 1        (1.96382)
   N=764102, steps=5785
     Blaze       = 1        (1.96122)
   N=840512, steps=5316
     Blaze       = 1        (2.00917)
   N=924563, steps=4892
     Blaze       = 1        (2.00189)
   N=1017019, steps=4411
     Blaze       = 1        (2.00525)
   N=1118720, steps=3990
     Blaze       = 1        (2.20225)
   N=1230592, steps=3428
     Blaze       = 1        (2.15161)
   N=1353651, steps=2807
     Blaze       = 1        (2.11539)
   N=1489016, steps=2163
     Blaze       = 1        (1.95921)
   N=1637917, steps=1664
     Blaze       = 1        (2.00769)
   N=1801708, steps=1472
     Blaze       = 1        (1.98504)
   N=1981878, steps=1270
     Blaze       = 1        (1.966)
   N=2180065, steps=1105
     Blaze       = 1        (1.9889)
   N=2398071, steps=990
     Blaze       = 1        (2.05865)
   N=2637878, steps=838
     Blaze       = 1        (2.00439)
   N=2901665, steps=747
     Blaze       = 1        (1.96794)
   N=3191831, steps=673
     Blaze       = 1        (2.0136)
   N=3511014, steps=621
     Blaze       = 1        (2.00365)
   N=3862115, steps=556
     Blaze       = 1        (2.0101)
   N=4248326, steps=506
     Blaze       = 1        (1.96688)
   N=4673158, steps=462
     Blaze       = 1        (2.0032)
   N=5140474, steps=418
     Blaze       = 1        (1.98303)
   N=5654521, steps=380
     Blaze       = 1        (2.01391)
   N=6219973, steps=346
     Blaze       = 1        (2.00076)
   N=6841970, steps=316
     Blaze       = 1        (2.00933)
   N=7526167, steps=286
     Blaze       = 1        (2.01644)
   N=8278784, steps=259
     Blaze       = 1        (1.99052)
   N=9106663, steps=237
     Blaze       = 1        (2.01004)
   N=10000000, steps=216
     Blaze       = 1        (1.99757)
/threads{locality#0/total}/idle-rate,1,1072.543483,[s],3617,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1072.543504,[s],462,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1072.543536,[s],6773,[0.01%]
/threads{locality#0/total}/time/average,1,1072.543510,[s],49968,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,1072.543538,[s],72506,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average,1,1072.543512,[s],26041,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,1072.543541,[s],7.69462e+11,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,1072.543519,[s],4.91411e+10,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/cumulative-overhead,1,1072.543542,[s],7.20321e+11,[ns]
/threads{locality#0/total}/count/cumulative,1,1072.543529,[s],2.71662e+07
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,1072.543544,[s],1.39894e+07
/threads{locality#0/pool#default/worker-thread#1}/count/cumulative,1,1072.543532,[s],1.31768e+07
/threads{locality#0/total}/time/average-overhead,1,1072.543547,[s],28324,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,1072.543534,[s],3512,[ns]
/threads{locality#0/pool#default/worker-thread#1}/time/average-overhead,1,1072.543518,[s],54665,[ns]
