
 Daxpy product:
   Blaze [MFlop/s]:
     1           383.825
     2           770.513
     3           1157.48
     4           1540.89
     5           1586.13
     6           1893.76
     7           2219.87
     8           2534.36
     9           2349.14
     10          2609.74
     11          2891.28
     12          1929.01
     13          3171.08
     14          3414.85
     15          3658.19
     16          3898.03
     17          3753.58
     18          3976.13
     19          4189.26
     20          4417.73
     22          4348.33
     24          4744.21
     26          4740.93
     28          5112.76
     30          5022.19
     33          5131.82
     36          5595.68
     39          5186.43
     42          5328.1
     46          5312.16
     50          5513.39
     55          5847.59
     60          6176.17
     66          6263.65
     72          6581.91
     79          6597.53
     86          6844.08
     94          6974.82
     103         7197.56
     113         7413.24
     124         7666.32
     136         7772.22
     149         7734.66
     163         7908.73
     179         8010.32
     196         8151.38
     215         8351.31
     236         8350.25
     259         8304.47
     284         8338.03
     312         8740.46
     343         8813.93
     377         8842.9
     414         8610.95
     455         9009.75
     500         9086.48
     550         8780.21
     605         8901.09
     665         9007.2
     731         5538.21
     804         5632.66
     884         5649.51
     972         5666.44
     1069        5653.36
     1175        5681.48
     1292        9424.65
     1421        9400.13
     1563        7343.03
     1719        9208.08
     1890        8792.28
     2079        6277.15
     2286        4072.68
     2514        4079.57
     2765        4078.16
     3041        4047.45
     3345        4066.23
     3679        4049.8
     4046        4112.48
     4450        4038.32
     4895        4066.54
     5384        4103.57
     5922        4083.6
     6514        4073.53
     7165        3581.5
     7881        4104.14
     8669        4076.64
     9535        4070.5
     10488       4108.04
     11536       4085.64
     12689       4021.54
     13957       3993.02
     15352       3714.7
     16887       3625.21
     18575       3651.87
     20432       3545.99
     22475       3368.1
     24722       3145.1
     27194       3016.62
     29913       2966.45
     32904       2871.98
     36194       2856.52
     39813       2176.69
     43794       2344.76
     48173       2473.72
     52990       2211.52
     58289       2428.79
     64117       2572.17
     70528       2821.05
     77580       3010.73
     85338       3228.09
     93871       3404.32
     103258      3545.66
     113583      3637.08
     124941      3840.72
     137435      4021.17
     151178      4285.08
     166295      4247.62
     182924      4425.57
     201216      4498.55
     221337      4791.12
     243470      5070.04
     267817      5386.24
     294598      5467.74
     324057      5689.13
     356462      5926.69
     392108      6136.34
     431318      6347.61
     474449      6571.96
     521893      6729.94
     574082      6902.9
     631490      7128.91
     694639      7303.57
     764102      7452.03
     840512      7518.53
     924563      7509.05
     1017019     7591.7
     1118720     6940.09
     1230592     6513.35
     1353651     5486.22
     1489016     4666.86
     1637917     3995.27
     1801708     3365
     1981878     2977.95
     2180065     2815.78
     2398071     2671.09
     2637878     2586.05
     2901665     2528.3
     3191831     2486.34
     3511014     2468.7
     3862115     2440.96
     4248326     2414.26
     4673158     2397.51
     5140474     2369.19
     5654521     2345.07
     6219973     2325.99
     6841970     2316.08
     7526167     2312.4
     8278784     2314.21
     9106663     2311.32
     10000000    2310.89
   N=1, steps=383860833
     Blaze       = 1        (2.00019)
   N=2, steps=385843793
     Blaze       = 1        (2.00305)
   N=3, steps=385787472
     Blaze       = 1        (1.9998)
   N=4, steps=178901123
     Blaze       = 1        (0.928821)
   N=5, steps=321339375
     Blaze       = 1        (2.02594)
   N=6, steps=321141398
     Blaze       = 1        (2.03495)
   N=7, steps=320766645
     Blaze       = 1        (2.02297)
   N=8, steps=321302328
     Blaze       = 1        (2.02845)
   N=9, steps=271696877
     Blaze       = 1        (2.08184)
   N=10, steps=272906794
     Blaze       = 1        (2.09145)
   N=11, steps=271554022
     Blaze       = 1        (2.06628)
   N=12, steps=272830082
     Blaze       = 1        (3.39445)
   N=13, steps=252152423
     Blaze       = 1        (2.06742)
   N=14, steps=251302583
     Blaze       = 1        (2.06055)
   N=15, steps=180004359
     Blaze       = 1        (1.47618)
   N=16, steps=240682021
     Blaze       = 1        (1.97582)
   N=17, steps=238044677
     Blaze       = 1        (2.15621)
   N=18, steps=238383166
     Blaze       = 1        (2.15833)
   N=19, steps=238173992
     Blaze       = 1        (2.16043)
   N=20, steps=237928373
     Blaze       = 1        (2.1543)
   N=22, steps=152219232
     Blaze       = 1        (1.54028)
   N=24, steps=202865286
     Blaze       = 1        (2.05251)
   N=26, steps=186189021
     Blaze       = 1        (2.04218)
   N=28, steps=186116754
     Blaze       = 1        (2.03853)
   N=30, steps=174824617
     Blaze       = 1        (2.08863)
   N=33, steps=159206744
     Blaze       = 1        (2.04755)
   N=36, steps=133244610
     Blaze       = 1        (1.71447)
   N=39, steps=141794138
     Blaze       = 1        (2.13248)
   N=42, steps=128316221
     Blaze       = 1        (2.02296)
   N=46, steps=121803078
     Blaze       = 1        (2.10948)
   N=50, steps=110234586
     Blaze       = 1        (1.9994)
   N=55, steps=104183005
     Blaze       = 1        (1.9598)
   N=60, steps=103574608
     Blaze       = 1        (2.01241)
   N=66, steps=95783574
     Blaze       = 1        (2.01854)
   N=72, steps=87172941
     Blaze       = 1        (1.90718)
   N=79, steps=85566147
     Blaze       = 1        (2.04917)
   N=86, steps=81997268
     Blaze       = 1        (2.06069)
   N=94, steps=79004753
     Blaze       = 1        (2.1295)
   N=103, steps=72894011
     Blaze       = 1        (2.08629)
   N=113, steps=65845673
     Blaze       = 1        (2.00737)
   N=124, steps=62204909
     Blaze       = 1        (2.01228)
   N=136, steps=57160821
     Blaze       = 1        (2.00043)
   N=149, steps=52018646
     Blaze       = 1        (2.00417)
   N=163, steps=49330236
     Blaze       = 1        (2.03341)
   N=179, steps=45871727
     Blaze       = 1        (2.05011)
   N=196, steps=42375263
     Blaze       = 1        (2.03783)
   N=215, steps=38454967
     Blaze       = 1        (1.98001)
   N=236, steps=36136941
     Blaze       = 1        (2.04265)
   N=259, steps=32631238
     Blaze       = 1        (2.03541)
   N=284, steps=30769663
     Blaze       = 1        (2.09608)
   N=312, steps=27477958
     Blaze       = 1        (1.96171)
   N=343, steps=25127027
     Blaze       = 1        (1.95567)
   N=377, steps=22543058
     Blaze       = 1        (1.92216)
   N=414, steps=21131793
     Blaze       = 1        (2.03196)
   N=455, steps=19321477
     Blaze       = 1        (1.9515)
   N=500, steps=17954764
     Blaze       = 1        (1.97599)
   N=550, steps=15665822
     Blaze       = 1        (1.96264)
   N=605, steps=14073242
     Blaze       = 1        (1.91309)
   N=665, steps=12811339
     Blaze       = 1        (1.89172)
   N=731, steps=11992159
     Blaze       = 1        (3.16574)
   N=804, steps=11498867
     Blaze       = 1        (3.28267)
   N=884, steps=10438050
     Blaze       = 1        (3.26656)
   N=972, steps=9370744
     Blaze       = 1        (3.21484)
   N=1069, steps=8252082
     Blaze       = 1        (3.12079)
   N=1175, steps=7665727
     Blaze       = 1        (3.17074)
   N=1292, steps=7168867
     Blaze       = 1        (1.96552)
   N=1421, steps=6414077
     Blaze       = 1        (1.93921)
   N=1563, steps=4648974
     Blaze       = 1        (1.97912)
   N=1719, steps=5336292
     Blaze       = 1        (1.9924)
   N=1890, steps=4853016
     Blaze       = 1        (2.08642)
   N=2079, steps=3329003
     Blaze       = 1        (2.20514)
   N=2286, steps=2092380
     Blaze       = 1        (2.34891)
   N=2514, steps=1617039
     Blaze       = 1        (1.99297)
   N=2765, steps=1440244
     Blaze       = 1        (1.95297)
   N=3041, steps=1341360
     Blaze       = 1        (2.01563)
   N=3345, steps=1216218
     Blaze       = 1        (2.00099)
   N=3679, steps=1093387
     Blaze       = 1        (1.98655)
   N=4046, steps=1008684
     Blaze       = 1        (1.98475)
