 task index: 0 from: 85714 to: 100000 task index: 1 from: 71428 to: 85714 task index: 2 from: 53571 to: 71428 task index: 3 from: 0 to: 53571num_iterations 100000,                    for_loop             par splittable_executor in 57553.886000 microseconds , queue              default, numa    0, threads    8

 task index: 0 from: 85714 to: 100000 task index: 1 from: 73469 to: 85714 task index: 2 from: 58775 to: 73469 task index: 3 from: 29387 to: 58775 task index: 4 from: 14693 to: 29387 task index: 5 from: 7346 to: 14693 task index: 6 from: 0 to: 7346num_iterations 100000,                    for_loop             par splittable_executor in 31634.599000 microseconds , queue              default, numa    0, threads    8

 task index: 0 from: 87500 to: 100000 task index: 1 from: 72916 to: 87500 task index: 2 from: 58332 to: 72916 task index: 3 from: 38888 to: 58332 task index: 4 from: 0 to: 38888num_iterations 100000,                    for_loop             par splittable_executor in 47364.089000 microseconds , queue              default, numa    0, threads    8

 task index: 0 from: 85714 to: 100000 task index: 1 from: 71428 to: 85714 task index: 2 from: 53571 to: 71428 task index: 3 from: 35714 to: 53571 task index: 4 from: 0 to: 35714num_iterations 100000,                    for_loop             par splittable_executor in 38131.650000 microseconds , queue              default, numa    0, threads    8

 task index: 0 from: 85714 to: 100000 task index: 1 from: 73469 to: 85714 task index: 2 from: 58775 to: 73469 task index: 3 from: 0 to: 58775num_iterations 100000,                    for_loop             par splittable_executor in 62613.584000 microseconds , queue              default, numa    0, threads    8

 task index: 0 from: 85714 to: 100000 task index: 1 from: 73469 to: 85714 task index: 2 from: 58775 to: 73469 task index: 3 from: 0 to: 58775num_iterations 100000,                    for_loop             par splittable_executor in 62682.063000 microseconds , queue              default, numa    0, threads    8

