runtime,node,benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,work_per_core,w1,w2,w3,w4,w5,w6,w7,w8,chunk_size,grain_size,num_blocks,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1)),L1cache,L2cache,L3cache,cache_line,set_associativity,datatype,cost,simd_size,execution_time,num_tasks,mflops,include
hpx,marvin_old,dmatdmatdmatadd,2777,1,4,128,512,15440120,15440120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2048,15290,7645.0,1024,15290.0,0,32768,262144,20971520,8,512,8,1024.0,4,57672.858482214564,7645.0,267.719,1
hpx,marvin_old,dmatdmatdmatadd,3193,1,4,128,512,20409656,20409656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2048,19975,9987.5,1024,19975.0,0,32768,262144,20971520,8,512,8,1024.0,4,62355.35513516155,9988.0,327.312,1
hpx,marvin_old,dmatdmatdmatadd,3672,1,4,128,512,26967168,26967168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2048,26622,13311.0,1024,26622.0,0,32768,262144,20971520,8,512,8,1024.0,4,100031.03995726812,13311.0,269.588,1
hpx,marvin_old,dmatdmatdmatadd,4222,1,4,128,512,35667456,35667456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2048,34848,17424.0,1024,34848.0,0,32768,262144,20971520,8,512,8,1024.0,4,105583.74480480267,17424.0,337.812,1
hpx,marvin_old,dmatdmatdmatadd,4855,1,4,128,512,47151760,47151760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2048,46132,23066.0,1024,46132.0,0,32768,262144,20971520,8,512,8,1024.0,4,159861.94410634917,23066.0,294.953,1
hpx,marvin_old,dmatdmatdmatadd,5583,1,4,128,512,62350944,62350944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2048,61424,30712.0,1024,61424.0,0,32768,262144,20971520,8,512,8,1024.0,4,214470.77600440284,30712.0,290.72,1
hpx,marvin_old,dmatdmatdmatadd,6420,1,4,128,512,82432800,82432800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2048,81855,40927.5,1024,81855.0,0,32768,262144,20971520,8,512,8,1024.0,4,271446.2592202318,40928.0,303.68,1
hpx,marvin_old,dmatdmatdmatadd,7000,1,4,128,512,98000000,98000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2048,96250,48125.0,1024,96250.0,0,32768,262144,20971520,8,512,8,1024.0,4,394028.45850438054,48125.0,248.713,1
hpx,marvin_old,dmatdmatdmatadd,200,1,4,128,512,80000,80000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2624,100,33.333333333333336,1536,100.0,0,32768,262144,20971520,8,512,8,1536.0,4,175.165093100247,34.0,456.712,1
hpx,marvin_old,dmatdmatdmatadd,230,1,4,128,512,106720,106720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2880,116,38.666666666666664,1536,116.0,0,32768,262144,20971520,8,512,8,1536.0,4,218.8625382476231,39.0,487.612,1
hpx,marvin_old,dmatdmatdmatadd,264,1,4,128,512,139392,139392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2112,198,66.0,1536,198.0,0,32768,262144,20971520,8,512,8,1536.0,4,325.75226450545443,66.0,427.908,1
hpx,marvin_old,dmatdmatdmatadd,300,1,4,128,512,180000,180000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2400,225,75.0,1536,225.0,0,32768,262144,20971520,8,512,8,1536.0,4,387.48842916496244,75.0,464.53,1
