runtime,node,benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,work_per_core,w1,w2,w3,w4,w5,w6,w7,w8,chunk_size,grain_size,num_blocks,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1)),L1cache,L2cache,L3cache,cache_line,set_associativity,datatype,cost,simd_size,execution_time,num_tasks,mflops,include
hpx,c7_spt,dmatdmatadd,200,1,4,256,800,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,39200,50,-50.0,-800,50.0,0,32768,262144,20971520,8,512,8,-300.0,4,49.30899605651304,-50.0,811.211,1
hpx,c7_spt,dmatdmatadd,230,1,4,256,928,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,52896,58,-58.0,-928,58.0,0,32768,262144,20971520,8,512,8,-348.0,4,63.60012967942484,-58.0,838.992,1
hpx,c7_spt,dmatdmatadd,264,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,69664,132,-132.0,-1024,132.0,0,32768,262144,20971520,8,512,8,-384.0,4,82.10976478973627,-132.0,848.815,1
hpx,c7_spt,dmatdmatadd,300,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,89824,150,-150.0,-1024,150.0,0,32768,262144,20971520,8,512,8,-384.0,4,100.46930327887152,-150.0,895.796,1
hpx,c7_spt,dmatdmatadd,345,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,119968,174,-174.0,-1024,174.0,0,32768,262144,20971520,8,512,8,-384.0,4,130.55449230983368,-174.0,919.616,1
hpx,c7_spt,dmatdmatadd,396,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,156256,198,-198.0,-1024,198.0,0,32768,262144,20971520,8,512,8,-384.0,4,163.31937761669687,-198.0,960.18,1
hpx,c7_spt,dmatdmatadd,455,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,206880,228,-228.0,-1024,228.0,0,32768,262144,20971520,8,512,8,-384.0,4,210.93854844022593,-228.0,983.604,1
hpx,c7_spt,dmatdmatadd,523,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,274016,393,-393.0,-1024,393.0,0,32768,262144,20971520,8,512,8,-384.0,4,282.68520619726445,-393.0,969.46,1
hpx,c7_spt,dmatdmatadd,600,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,359648,450,-450.0,-1024,450.0,0,32768,262144,20971520,8,512,8,-384.0,4,359.0306173332003,-450.0,1002.7,1
hpx,c7_spt,dmatdmatadd,690,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,477120,519,-519.0,-1024,519.0,0,32768,262144,20971520,8,512,8,-384.0,4,469.39698393661155,-519.0,1017.22,1
hpx,c7_spt,dmatdmatadd,793,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,631200,796,-796.0,-1024,796.0,0,32768,262144,20971520,8,512,8,-384.0,4,644.0799717564278,-796.0,980.046,1
hpx,c7_spt,dmatdmatadd,912,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,831168,912,-912.0,-1024,912.0,0,32768,262144,20971520,8,512,8,-384.0,4,1092.9618922470434,-912.0,761.0,1
hpx,c7_spt,dmatdmatadd,1048,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1098208,1310,-1310.0,-1024,1310.0,0,32768,262144,20971520,8,512,8,-384.0,4,2115.646441959109,-1310.0,519.134,1
hpx,c7_spt,dmatdmatadd,1200,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1439296,1500,-1500.0,-1024,1500.0,0,32768,262144,20971520,8,512,8,-384.0,4,2978.640664236868,-1500.0,483.442,1
hpx,c7_spt,dmatdmatadd,1380,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1904000,2070,-2070.0,-1024,2070.0,0,32768,262144,20971520,8,512,8,-384.0,4,4017.8656196530255,-2070.0,473.983,1
hpx,c7_spt,dmatdmatadd,1587,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2520000,2779,-2779.0,-1024,2779.0,0,32768,262144,20971520,8,512,8,-384.0,4,5207.697823441043,-2779.0,483.929,1
hpx,c7_spt,dmatdmatadd,1825,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,3336064,3656,-3656.0,-1024,3656.0,0,32768,262144,20971520,8,512,8,-384.0,4,6854.065781444858,-3656.0,486.733,1
hpx,c7_spt,dmatdmatadd,2100,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,4409792,4725,-4725.0,-1024,4725.0,0,32768,262144,20971520,8,512,8,-384.0,4,9219.653541726771,-4725.0,478.326,1
hpx,c7_spt,dmatdmatadd,2415,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,5834304,6040,-6040.0,-1024,6040.0,0,32768,262144,20971520,8,512,8,-384.0,4,12026.51561997576,-6040.0,485.148,1
hpx,c7_spt,dmatdmatadd,2777,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,7719840,7645,-7645.0,-1024,7645.0,0,32768,262144,20971520,8,512,8,-384.0,4,15838.587176178295,-7645.0,487.421,1
hpx,c7_spt,dmatdmatadd,3193,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,10204704,10387,-10387.0,-1024,10387.0,0,32768,262144,20971520,8,512,8,-384.0,4,20715.794003787978,-10387.0,492.611,1
hpx,c7_spt,dmatdmatadd,3672,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,13483232,13770,-13770.0,-1024,13770.0,0,32768,262144,20971520,8,512,8,-384.0,4,27478.03971436956,-13770.0,490.704,1
hpx,c7_spt,dmatdmatadd,4222,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,17833472,17952,-17952.0,-1024,17952.0,0,32768,262144,20971520,8,512,8,-384.0,4,37292.826552462524,-17952.0,478.208,1
hpx,c7_spt,dmatdmatadd,4855,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,23575136,23066,-23066.0,-1024,23066.0,0,32768,262144,20971520,8,512,8,-384.0,4,46762.323370966595,-23066.0,504.164,1
hpx,c7_spt,dmatdmatadd,5583,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,31174848,30712,-30712.0,-1024,30712.0,0,32768,262144,20971520,8,512,8,-384.0,4,63044.68774393426,-30712.0,494.498,1
hpx,c7_spt,dmatdmatadd,6420,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,41216320,41730,-41730.0,-1024,41730.0,0,32768,262144,20971520,8,512,8,-384.0,4,82987.98965076361,-41730.0,496.655,1
hpx,c7_spt,dmatdmatadd,7000,1,4,256,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,48999648,49000,-49000.0,-1024,49000.0,0,32768,262144,20971520,8,512,8,-384.0,4,97589.14967984783,-49000.0,502.105,1
hpx,c7_spt,dmatdmatadd,200,2,4,256,800,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,39200,50,-50.0,-800,25.0,-50.0,32768,262144,20971520,8,512,8,-300.0,4,54.0747339861055,-50.0,739.717,1
hpx,c7_spt,dmatdmatadd,230,2,4,256,928,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,52896,58,-58.0,-928,29.0,-58.0,32768,262144,20971520,8,512,8,-348.0,4,67.38981903509801,-58.0,791.811,1
hpx,c7_spt,dmatdmatadd,264,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,69664,132,-132.0,-1024,66.0,-132.0,32768,262144,20971520,8,512,8,-384.0,4,86.63118354683697,-132.0,804.514,1
hpx,c7_spt,dmatdmatadd,300,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,89824,150,-150.0,-1024,75.0,-150.0,32768,262144,20971520,8,512,8,-384.0,4,104.91577012255327,-150.0,857.831,1
hpx,c7_spt,dmatdmatadd,345,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,119968,174,-174.0,-1024,87.0,-174.0,32768,262144,20971520,8,512,8,-384.0,4,135.07325749760085,-174.0,888.851,1
hpx,c7_spt,dmatdmatadd,396,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,156256,198,-198.0,-1024,99.0,-198.0,32768,262144,20971520,8,512,8,-384.0,4,167.36662465139958,-198.0,936.961,1
hpx,c7_spt,dmatdmatadd,455,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,206880,228,-228.0,-1024,114.0,-228.0,32768,262144,20971520,8,512,8,-384.0,4,215.41950113378684,-228.0,963.144,1
hpx,c7_spt,dmatdmatadd,523,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,274016,393,-393.0,-1024,196.5,-393.0,32768,262144,20971520,8,512,8,-384.0,4,286.97115439993047,-393.0,954.981,1
hpx,c7_spt,dmatdmatadd,600,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,359648,450,-450.0,-1024,225.0,-450.0,32768,262144,20971520,8,512,8,-384.0,4,359.94600809878517,-450.0,1000.15,1
hpx,c7_spt,dmatdmatadd,690,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,477120,519,-519.0,-1024,259.5,-519.0,32768,262144,20971520,8,512,8,-384.0,4,477.69496273323,-519.0,999.55,1
hpx,c7_spt,dmatdmatadd,793,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,631200,796,-796.0,-1024,398.0,-796.0,32768,262144,20971520,8,512,8,-384.0,4,645.8209706528723,-796.0,977.404,1
hpx,c7_spt,dmatdmatadd,912,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,831168,912,-912.0,-1024,456.0,-912.0,32768,262144,20971520,8,512,8,-384.0,4,1067.8375411635566,-912.0,778.905,1
hpx,c7_spt,dmatdmatadd,1048,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1098208,1310,-1310.0,-1024,655.0,-1310.0,32768,262144,20971520,8,512,8,-384.0,4,2072.056673364085,-1310.0,530.055,1
hpx,c7_spt,dmatdmatadd,1200,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1439296,1500,-1500.0,-1024,750.0,-1500.0,32768,262144,20971520,8,512,8,-384.0,4,2802.3687800549187,-1500.0,513.851,1
hpx,c7_spt,dmatdmatadd,1380,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1904000,2070,-2070.0,-1024,1035.0,-2070.0,32768,262144,20971520,8,512,8,-384.0,4,4045.5968763675455,-2070.0,470.734,1
hpx,c7_spt,dmatdmatadd,1587,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2520000,2779,-2779.0,-1024,1389.5,-2779.0,32768,262144,20971520,8,512,8,-384.0,4,5187.502187055513,-2779.0,485.813,1
hpx,c7_spt,dmatdmatadd,1825,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,3336064,3656,-3656.0,-1024,1828.0,-3656.0,32768,262144,20971520,8,512,8,-384.0,4,6898.312900244205,-3656.0,483.611,1
hpx,c7_spt,dmatdmatadd,2100,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,4409792,4725,-4725.0,-1024,2362.5,-4725.0,32768,262144,20971520,8,512,8,-384.0,4,8639.65582432308,-4725.0,510.437,1
hpx,c7_spt,dmatdmatadd,2415,2,4,256,1024,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,5834304,6040,-6040.0,-1024,3020.0,-6040.0,32768,262144,20971520,8,512,8,-384.0,4,9946.607204958778,-6040.0,586.596,1
