node,problem_size,num_blocks,num_threads,chunk_size,iter_length,grain_size,work_per_core,num_tasks,execution_time
c7-spt,1000.0,1000.0,1.0,-1.0,1.0,-1.0,1000.0,-1000.0,1126.8698
c7-spt,10000.0,10000.0,1.0,-1.0,1.0,-1.0,10000.0,-10000.0,10613.213
c7-spt,100000.0,100000.0,1.0,-1.0,1.0,-1.0,100000.0,-100000.0,104487.60199999998
c7-spt,1000000.0,1000000.0,1.0,-1.0,1.0,-1.0,1000000.0,-1000000.0,1044550.8244
c7-spt,10000000.0,10000000.0,1.0,-1.0,1.0,-1.0,10000000.0,-10000000.0,10446031.729600001
c7-spt,100000000.0,100000000.0,1.0,-1.0,1.0,-1.0,100000000.0,-100000000.0,104446778.6176
c7-spt,1000.0,1000.0,2.0,-1.0,1.0,-1.0,500.0,-1000.0,1007.0361999999999
c7-spt,10000.0,10000.0,2.0,-1.0,1.0,-1.0,5000.0,-10000.0,7208.405199999999
c7-spt,100000.0,100000.0,2.0,-1.0,1.0,-1.0,50000.0,-100000.0,53736.183999999994
c7-spt,1000000.0,1000000.0,2.0,-1.0,1.0,-1.0,500000.0,-1000000.0,525471.4664
c7-spt,10000000.0,10000000.0,2.0,-1.0,1.0,-1.0,5000000.0,-10000000.0,5227198.4202
c7-spt,100000000.0,100000000.0,2.0,-1.0,1.0,-1.0,50000000.0,-100000000.0,52254267.037
c7-spt,1000.0,1000.0,3.0,-1.0,1.0,-1.0,333.0,-1000.0,823.0214
c7-spt,10000.0,10000.0,3.0,-1.0,1.0,-1.0,3333.0,-10000.0,5689.7894
c7-spt,100000.0,100000.0,3.0,-1.0,1.0,-1.0,33333.0,-100000.0,38250.6582
c7-spt,1000000.0,1000000.0,3.0,-1.0,1.0,-1.0,333333.0,-1000000.0,356786.336
c7-spt,10000000.0,10000000.0,3.0,-1.0,1.0,-1.0,3333333.0,-10000000.0,3529410.9332000003
c7-spt,100000000.0,100000000.0,3.0,-1.0,1.0,-1.0,33333333.0,-100000000.0,35272115.2042
c7-spt,1000.0,1000.0,4.0,-1.0,1.0,-1.0,250.0,-1000.0,739.0884
c7-spt,10000.0,10000.0,4.0,-1.0,1.0,-1.0,2500.0,-10000.0,5235.746000000001
c7-spt,100000.0,100000.0,4.0,-1.0,1.0,-1.0,25000.0,-100000.0,29859.512200000005
c7-spt,1000000.0,1000000.0,4.0,-1.0,1.0,-1.0,250000.0,-1000000.0,267295.1718
c7-spt,10000000.0,10000000.0,4.0,-1.0,1.0,-1.0,2500000.0,-10000000.0,2648530.8741999995
c7-spt,100000000.0,100000000.0,4.0,-1.0,1.0,-1.0,25000000.0,-100000000.0,26469857.454000004
c7-spt,1000.0,1000.0,5.0,-1.0,1.0,-1.0,200.0,-1000.0,565.0409999999999
c7-spt,10000.0,10000.0,5.0,-1.0,1.0,-1.0,2000.0,-10000.0,5054.3394
c7-spt,100000.0,100000.0,5.0,-1.0,1.0,-1.0,20000.0,-100000.0,23918.6344
c7-spt,1000000.0,1000000.0,5.0,-1.0,1.0,-1.0,200000.0,-1000000.0,213301.15300000002
c7-spt,10000000.0,10000000.0,5.0,-1.0,1.0,-1.0,2000000.0,-10000000.0,2098072.4016
c7-spt,100000000.0,100000000.0,5.0,-1.0,1.0,-1.0,20000000.0,-100000000.0,20941796.1802
c7-spt,1000.0,1000.0,6.0,-1.0,1.0,-1.0,166.0,-1000.0,570.2375999999999
c7-spt,10000.0,10000.0,6.0,-1.0,1.0,-1.0,1666.0,-10000.0,4660.9572
c7-spt,100000.0,100000.0,6.0,-1.0,1.0,-1.0,16666.0,-100000.0,20802.4152
c7-spt,1000000.0,1000000.0,6.0,-1.0,1.0,-1.0,166666.0,-1000000.0,178828.27539999998
c7-spt,10000000.0,10000000.0,6.0,-1.0,1.0,-1.0,1666666.0,-10000000.0,1748090.0802000002
c7-spt,100000000.0,100000000.0,6.0,-1.0,1.0,-1.0,16666666.0,-100000000.0,17452289.7288
c7-spt,1000.0,1000.0,7.0,-1.0,1.0,-1.0,142.0,-1000.0,523.9116
c7-spt,10000.0,10000.0,7.0,-1.0,1.0,-1.0,1428.0,-10000.0,4630.8904
c7-spt,100000.0,100000.0,7.0,-1.0,1.0,-1.0,14285.0,-100000.0,18892.0136
c7-spt,1000000.0,1000000.0,7.0,-1.0,1.0,-1.0,142857.0,-1000000.0,154958.5308
c7-spt,10000000.0,10000000.0,7.0,-1.0,1.0,-1.0,1428571.0,-10000000.0,1518962.3942000002
c7-spt,100000000.0,100000000.0,7.0,-1.0,1.0,-1.0,14285714.0,-100000000.0,15165546.561200002
c7-spt,1000.0,1000.0,8.0,-1.0,1.0,-1.0,125.0,-1000.0,535.0884
c7-spt,10000.0,10000.0,8.0,-1.0,1.0,-1.0,1250.0,-10000.0,3980.755
c7-spt,100000.0,100000.0,8.0,-1.0,1.0,-1.0,12500.0,-100000.0,17301.55
c7-spt,1000000.0,1000000.0,8.0,-1.0,1.0,-1.0,125000.0,-1000000.0,136090.622
c7-spt,10000000.0,10000000.0,8.0,-1.0,1.0,-1.0,1250000.0,-10000000.0,1330001.6682
c7-spt,100000000.0,100000000.0,8.0,-1.0,1.0,-1.0,12500000.0,-100000000.0,13268389.4304
