
hpx::seq: 1.38928e+07 microsec. 

hpx::par: 497775 microsec. 

hpx::par_unseq: 387488 microsec. 


hpx::seq: 1.37168e+07 microsec. 

hpx::par: 498959 microsec. 

hpx::par_unseq: 502388 microsec. 


hpx::seq: 1.36969e+07 microsec. 

hpx::par: 497043 microsec. 

hpx::par_unseq: 496431 microsec. 


hpx::seq: 1.40183e+07 microsec. 

hpx::par: 398663 microsec. 

hpx::par_unseq: 496274 microsec. 


hpx::seq: 1.35181e+07 microsec. 

hpx::par: 497426 microsec. 

hpx::par_unseq: 398462 microsec. 


hpx::seq: 1.36769e+07 microsec. 

hpx::par: 399769 microsec. 

hpx::par_unseq: 497098 microsec. 

