
hpx::seq: 1.22404e+07 microsec. 

hpx::par: 2.70836e+06 microsec. 

hpx::par_unseq: 2.70583e+06 microsec. 


hpx::seq: 1.22672e+07 microsec. 

hpx::par: 2.71155e+06 microsec. 

hpx::par_unseq: 2.702e+06 microsec. 


hpx::seq: 1.23159e+07 microsec. 

hpx::par: 2.70363e+06 microsec. 

hpx::par_unseq: 2.70489e+06 microsec. 


hpx::seq: 1.23171e+07 microsec. 

hpx::par: 2.70926e+06 microsec. 

hpx::par_unseq: 2.70619e+06 microsec. 


hpx::seq: 1.23332e+07 microsec. 

hpx::par: 2.70918e+06 microsec. 

hpx::par_unseq: 2.70277e+06 microsec. 


hpx::seq: 1.23121e+07 microsec. 

hpx::par: 2.70628e+06 microsec. 

hpx::par_unseq: 2.70226e+06 microsec. 

