
hpx::seq: 1.3026e+07 microsec. 

hpx::par: 932604 microsec. 

hpx::par_unseq: 933292 microsec. 


hpx::seq: 1.30917e+07 microsec. 

hpx::par: 932524 microsec. 

hpx::par_unseq: 931600 microsec. 


hpx::seq: 1.31877e+07 microsec. 

hpx::par: 932743 microsec. 

hpx::par_unseq: 942899 microsec. 


hpx::seq: 1.30492e+07 microsec. 

hpx::par: 933002 microsec. 

hpx::par_unseq: 945093 microsec. 


hpx::seq: 1.31955e+07 microsec. 

hpx::par: 944631 microsec. 

hpx::par_unseq: 934775 microsec. 


hpx::seq: 1.29604e+07 microsec. 

hpx::par: 944350 microsec. 

hpx::par_unseq: 936296 microsec. 

