
hpx::seq: 1.22582e+07 microsec. 

hpx::par: 5.17163e+06 microsec. 

hpx::par_unseq: 5.18196e+06 microsec. 


hpx::seq: 1.22424e+07 microsec. 

hpx::par: 5.18188e+06 microsec. 

hpx::par_unseq: 5.18391e+06 microsec. 


hpx::seq: 1.22682e+07 microsec. 

hpx::par: 5.18664e+06 microsec. 

hpx::par_unseq: 5.17166e+06 microsec. 


hpx::seq: 1.2276e+07 microsec. 

hpx::par: 5.1784e+06 microsec. 

hpx::par_unseq: 5.18859e+06 microsec. 


hpx::seq: 1.22406e+07 microsec. 

hpx::par: 5.18562e+06 microsec. 

hpx::par_unseq: 5.19246e+06 microsec. 


hpx::seq: 1.22744e+07 microsec. 

hpx::par: 5.1949e+06 microsec. 

hpx::par_unseq: 5.18561e+06 microsec. 

