
hpx::seq: 1.22154e+07 microsec. 

hpx::par: 6.71014e+06 microsec. 

hpx::par_unseq: 6.65449e+06 microsec. 


hpx::seq: 1.22618e+07 microsec. 

hpx::par: 6.64955e+06 microsec. 

hpx::par_unseq: 6.67652e+06 microsec. 


hpx::seq: 1.22384e+07 microsec. 

hpx::par: 6.65819e+06 microsec. 

hpx::par_unseq: 6.66207e+06 microsec. 


hpx::seq: 1.22605e+07 microsec. 

hpx::par: 6.66154e+06 microsec. 

hpx::par_unseq: 6.65238e+06 microsec. 


hpx::seq: 1.22528e+07 microsec. 

hpx::par: 6.65572e+06 microsec. 

hpx::par_unseq: 6.6852e+06 microsec. 


hpx::seq: 1.22341e+07 microsec. 

hpx::par: 6.65877e+06 microsec. 

hpx::par_unseq: 6.65763e+06 microsec. 

