
hpx::seq: 1.35375e+07 microsec. 

hpx::par: 574284 microsec. 

hpx::par_unseq: 496568 microsec. 


hpx::seq: 1.3539e+07 microsec. 

hpx::par: 497052 microsec. 

hpx::par_unseq: 496251 microsec. 


hpx::seq: 1.35793e+07 microsec. 

hpx::par: 496935 microsec. 

hpx::par_unseq: 496029 microsec. 


hpx::seq: 1.34795e+07 microsec. 

hpx::par: 496837 microsec. 

hpx::par_unseq: 504454 microsec. 


hpx::seq: 1.35299e+07 microsec. 

hpx::par: 495740 microsec. 

hpx::par_unseq: 495776 microsec. 


hpx::seq: 1.35991e+07 microsec. 

hpx::par: 497004 microsec. 

hpx::par_unseq: 496313 microsec. 

