
hpx::seq: 1.32938e+07 microsec. 

hpx::par: 744942 microsec. 

hpx::par_unseq: 748190 microsec. 


hpx::seq: 1.32962e+07 microsec. 

hpx::par: 747179 microsec. 

hpx::par_unseq: 743907 microsec. 


hpx::seq: 1.33784e+07 microsec. 

hpx::par: 743628 microsec. 

hpx::par_unseq: 743808 microsec. 


hpx::seq: 1.33103e+07 microsec. 

hpx::par: 744308 microsec. 

hpx::par_unseq: 745492 microsec. 


hpx::seq: 1.33202e+07 microsec. 

hpx::par: 743539 microsec. 

hpx::par_unseq: 746793 microsec. 


hpx::seq: 1.33471e+07 microsec. 

hpx::par: 744070 microsec. 

hpx::par_unseq: 744685 microsec. 

