
hpx::seq: 1.23322e+07 microsec. 

hpx::par: 2.70154e+06 microsec. 

hpx::par_unseq: 2.70497e+06 microsec. 


hpx::seq: 1.23465e+07 microsec. 

hpx::par: 2.70199e+06 microsec. 

hpx::par_unseq: 2.70292e+06 microsec. 


hpx::seq: 1.22933e+07 microsec. 

hpx::par: 2.70019e+06 microsec. 

hpx::par_unseq: 2.70058e+06 microsec. 


hpx::seq: 1.23173e+07 microsec. 

hpx::par: 2.7008e+06 microsec. 

hpx::par_unseq: 2.70132e+06 microsec. 


hpx::seq: 1.2339e+07 microsec. 

hpx::par: 2.70447e+06 microsec. 

hpx::par_unseq: 2.69406e+06 microsec. 


hpx::seq: 1.2352e+07 microsec. 

hpx::par: 2.70201e+06 microsec. 

hpx::par_unseq: 2.70475e+06 microsec. 

