
 Dense Matrix/Transpose Dense Matrix Addition:
   Blaze [MFlop/s]:
     200         519.075
     230         555.58
     264         595.068
     300         640.678
     345         668.486
     396         689.414
     455         676.719
     523         677.071
     600         663.572
     690         656.528
     793         534.867
     912         424.099
     1048        337.825
     1200        281.208
     1380        276.883
     1587        273.304
/threads{locality#0/total}/idle-rate,1,169.580487,[s],390,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,169.580502,[s],390,[0.01%]
/threads{locality#0/total}/time/average,1,169.580504,[s],36136,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,169.580506,[s],36136,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,169.580508,[s],6.56058e+09,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,169.580510,[s],6.56058e+09,[ns]
/threads{locality#0/total}/count/cumulative,1,169.580511,[s],4.46193e+06
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,169.580513,[s],4.46193e+06
/threads{locality#0/total}/time/average-overhead,1,169.580515,[s],1470,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,169.580517,[s],1470,[ns]
