
 Dense Matrix/Dense Matrix Addition:
   Blaze [MFlop/s]:
     200         636.949
     230         691.482
     264         742.613
     300         795.069
     345         830.675
     396         872.368
     455         896.216
     523         926.426
     600         939.817
     690         955.407
     793         412.069
     912         390.732
     1048        385.78
     1200        359.988
     1380        346.4
     1587        352.661
/threads{locality#0/total}/idle-rate,1,172.639415,[s],461,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,172.639430,[s],461,[0.01%]
/threads{locality#0/total}/time/average,1,172.639432,[s],29095,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,172.639434,[s],29095,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,172.639436,[s],7.84056e+09,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,172.639437,[s],7.84056e+09,[ns]
/threads{locality#0/total}/count/cumulative,1,172.639439,[s],5.5689e+06
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,172.639440,[s],5.5689e+06
/threads{locality#0/total}/time/average-overhead,1,172.639442,[s],1407,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,172.639444,[s],1407,[ns]
