
 Dense Matrix/Transpose Dense Matrix Addition:
   Blaze [MFlop/s]:
     200         516.036
     230         553.589
     264         593.63
     300         640.321
     345         667.493
     396         687.613
     455         675.764
     523         675.872
     600         662.917
     690         648.63
     793         557.262
     912         429.232
     1048        336.924
     1200        280.596
     1380        279.245
     1587        275.348
/threads{locality#0/total}/idle-rate,1,170.564414,[s],376,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,170.564428,[s],376,[0.01%]
/threads{locality#0/total}/time/average,1,170.564430,[s],36416,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average,1,170.564432,[s],36416,[ns]
/threads{locality#0/total}/time/cumulative-overhead,1,170.564434,[s],6.35414e+09,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/cumulative-overhead,1,170.564436,[s],6.35414e+09,[ns]
/threads{locality#0/total}/count/cumulative,1,170.564437,[s],4.45689e+06
/threads{locality#0/pool#default/worker-thread#0}/count/cumulative,1,170.564439,[s],4.45689e+06
/threads{locality#0/total}/time/average-overhead,1,170.564441,[s],1425,[ns]
/threads{locality#0/pool#default/worker-thread#0}/time/average-overhead,1,170.564443,[s],1425,[ns]
