
 Dense Vector/Dense Vector Addition:
   Blaze [MFlop/s]:
     1           99.7792
     2           199.545
     3           299.357
     4           399.123
     5           466.701
     6           560.064
     7           653.465
     8           746.775
     9           768.592
     10          847.936
     11          930.488
     12          1024.81
     13          1114.3
     14          1193.06
     15          1285.74
     16          1363.56
     17          1213.35
     18          1373.05
     19          1450.62
     20          1526.82
     22          1593.79
     24          1535.47
     26          1742
     28          1876.15
     30          1899.92
     33          1963.64
     36          2184.24
     39          2179.6
     42          2056.91
     46          2333.75
     50          2545.8
     55          2565.61
     60          2859.66
     66          2675.97
     72          2983.51
     79          3032.13
     86          3210.32
     94          3240.21
     103         3352.78
     113         3378.43
     124         3394.43
     136         3705.98
     149         3742.4
     163         4093.69
     179         3867.6
     196         4093.19
     215         4115.57
     236         4150.93
     259         3158.07
     284         4390.66
     312         4551.94
     343         4369.69
     377         4435.15
     414         4737.93
     455         4923.26
     500         4395.62
     550         4765.1
     605         4929.78
     665         4618.96
     731         4726.66
     804         4787.24
     884         4758.65
     972         4675.25
     1069        5266.79
     1175        5256.47
     1292        4907.37
     1421        2380.1
     1563        2044.84
     1719        1741.09
     1890        1744.88
     2079        1736.38
     2286        1715.52
     2514        1747.14
     2765        1743.92
     3041        1737.66
     3345        1757.96
     3679        1761
     4046        1760.69
     4450        1769.05
     4895        1760.25
     5384        1682.45
     5922        1752.95
     6514        1747.74
     7165        1457.48
     7881        1677.2
     8669        1612.95
     9535        1614.45
     10488       1424.7
     11536       1518.16
     12689       1483.43
     13957       1465.88
     15352       1251.37
     16887       1183.95
     18575       1114.11
     20432       1087.37
     22475       1084.42
     24722       1084.84
     27194       1081.16
     29913       1084.76
     32904       1085.11
     36194       1085.33
     39813       811.353
     43794       852.287
     48173       903.961
     52990       953.398
     58289       1020.97
     64117       1104.61
     70528       1155.11
     77580       1208.78
     85338       1284.88
     93871       1355.49
     103258      1428.82
     113583      1500.62
     124941      1549.38
     137435      1640.03
     151178      1691.07
     166295      1751.44
     182924      1807.65
     201216      1843.69
     221337      1934.82
     243470      2004.45
     267817      2038.06
     294598      2124.4
     324057      2164.94
     356462      2215.12
     392108      2263.21
     431318      2291.28
     474449      2338.01
     521893      2347.14
     574082      2315.14
     631490      2128.84
     694639      1970.24
     764102      1800.14
     840512      1487.71
     924563      1134.56
     1017019     914.946
     1118720     773.243
     1230592     660.64
     1353651     599.288
     1489016     541.755
     1637917     510.293
     1801708     490.249
     1981878     478.452
     2180065     474.031
     2398071     461.517
     2637878     454.042
     2901665     480.562
     3191831     448.366
     3511014     441.605
     3862115     432.752
     4248326     430.765
     4673158     429.072
     5140474     427.838
     5654521     426.91
     6219973     425.737
     6841970     423.779
     7526167     412.315
     8278784     412.385
     9106663     412.585
     10000000    412.645
   N=1, steps=199422563
     Blaze       = 1        (1.99864)
   N=2, steps=199632456
     Blaze       = 1        (2.00088)
   N=3, steps=199506665
     Blaze       = 1        (1.99935)
   N=4, steps=199523918
     Blaze       = 1        (1.99962)
   N=5, steps=186575681
     Blaze       = 1        (1.99888)
   N=6, steps=186584586
     Blaze       = 1        (1.99889)
   N=7, steps=186616626
     Blaze       = 1        (1.99906)
   N=8, steps=186695101
     Blaze       = 1        (2.00001)
   N=9, steps=171123659
     Blaze       = 1        (2.00381)
   N=10, steps=171178191
     Blaze       = 1        (2.01876)
   N=11, steps=171226716
     Blaze       = 1        (2.0242)
   N=12, steps=148410457
     Blaze       = 1        (1.73781)
   N=13, steps=169876077
     Blaze       = 1        (1.98185)
   N=14, steps=169397107
